Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Chairperson	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΡΕΜΑΣΤΙΝΟΣ_ΘΩΜΑ_ΔΗΜΗΤΡΙΟΣ	Kremastinos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΛΟΒΕΡΔΟΣ_ΝΙΚΟΛΑΟΥ_ΑΝΔΡΕΑΣ	Loverdos, Andreas	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Chairperson	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΡΕΜΑΣΤΙΝΟΣ_ΘΩΜΑ_ΔΗΜΗΤΡΙΟΣ	Kremastinos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΦΩΤΙΟΣ-ΦΑΝΟΥΡΙΟΥ_ΚΟΥΒΕΛΗΣ	Koyvelīs, Fōtios Fanoyrioy	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Chairperson	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΡΕΜΑΣΤΙΝΟΣ_ΘΩΜΑ_ΔΗΜΗΤΡΙΟΣ	Kremastinos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΦΩΤΙΟΣ-ΦΑΝΟΥΡΙΟΥ_ΚΟΥΒΕΛΗΣ	Koyvelīs, Fōtios Fanoyrioy	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Chairperson	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΡΕΜΑΣΤΙΝΟΣ_ΘΩΜΑ_ΔΗΜΗΤΡΙΟΣ	Kremastinos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΛΟΒΕΡΔΟΣ_ΝΙΚΟΛΑΟΥ_ΑΝΔΡΕΑΣ	Loverdos, Andreas	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Chairperson	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΡΕΜΑΣΤΙΝΟΣ_ΘΩΜΑ_ΔΗΜΗΤΡΙΟΣ	Kremastinos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΦΩΤΙΟΣ-ΦΑΝΟΥΡΙΟΥ_ΚΟΥΒΕΛΗΣ	Koyvelīs, Fōtios Fanoyrioy	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΛΟΒΕΡΔΟΣ_ΝΙΚΟΛΑΟΥ_ΑΝΔΡΕΑΣ	Loverdos, Andreas	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΦΩΤΙΟΣ-ΦΑΝΟΥΡΙΟΥ_ΚΟΥΒΕΛΗΣ	Koyvelīs, Fōtios Fanoyrioy	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΛΟΒΕΡΔΟΣ_ΝΙΚΟΛΑΟΥ_ΑΝΔΡΕΑΣ	Loverdos, Andreas	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΦΩΤΙΟΣ-ΦΑΝΟΥΡΙΟΥ_ΚΟΥΒΕΛΗΣ	Koyvelīs, Fōtios Fanoyrioy	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u15	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΛΟΒΕΡΔΟΣ_ΝΙΚΟΛΑΟΥ_ΑΝΔΡΕΑΣ	Loverdos, Andreas	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u16	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΦΩΤΙΟΣ-ΦΑΝΟΥΡΙΟΥ_ΚΟΥΒΕΛΗΣ	Koyvelīs, Fōtios Fanoyrioy	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u17	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Chairperson	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΡΕΜΑΣΤΙΝΟΣ_ΘΩΜΑ_ΔΗΜΗΤΡΙΟΣ	Kremastinos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-07-31-S1-commons	ParlaMint-GR_2018-07-31-S1-commons.u18	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 6, 2018-07-31	2018-07-31	Unicameralism	17	1	-	6	-	Reference	English	Chairperson	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΡΕΜΑΣΤΙΝΟΣ_ΘΩΜΑ_ΔΗΜΗΤΡΙΟΣ	Kremastinos, Dīmītrios	M	-	
