ParlaMint-FI_2018-06-12-ps-64.u1	As previously announced, Mr Paavo Väyrynen has returned to the House today. Welcome!
ParlaMint-FI_2018-06-12-ps-64.u2	The fourth item on the agenda is the topical debate on the challenges of international multilateral cooperation. After a ten-minute speech by the Government, I will give a two-minute reply to each representative of the parliamentary group. I will then give the two-minute response in the order in which I am considering it. Responses will be reserved for the plenary session by V-button. A maximum of 1.5 hours is set aside for the discussion. The first speaker is Minister Soini, 10 minutes. - Here you go.
ParlaMint-FI_2018-06-12-ps-64.u3	Madam President! The security and well-being of our country depend fundamentally on and respect for the rules of the game common to all. The system is now being challenged from many directions. It is being undermined both by the changing powers of the states and by the development of great power dynamics. After World War II, the United Nations was founded in a kind of “never-ending ” spirit. Human rights standards, the economic system and a wide network of agreements have proved to be relatively sustainable, but there are problems. The structural imbalance in the system has been highlighted by the prosperity of developing countries. The permanent members of the Security Council follow the international rules they have created selectively. In terms of human rights, democracy and the rule of law, the picture is mixed. In many respects there has been a decline. Several countries are challenging the basics of the system. The development of the UN into a complex and heavy rowing machine has weakened its effectiveness. Misuses in the field do not make the situation any easier. Economic integration has progressed, but well-being is not evenly distributed. The change has been great, and many have fallen from the sled. This has brought new movement and unexpected election results, both in the West and elsewhere. Madam President! Great power politics has returned. This has a strong impact on the functioning of the international rule-based system. Power politics and national interests are evident in the activities of the United States, China and Russia. Let me just say a few words about this. The withdrawal of the United States from certain international agreements and arrangements and the questioning of the multilateral system have been a tough part of Europe. The West's cooperation seems to be getting further bruises from the meeting. This has given room, above all, to China, but also to Russia. The European Union is now expected to play a stronger role, and its unity is emphasised. The current US administration has increasingly resorted to unilateral trade measures. The United States considers that it is better able to pursue its own interests bilaterally. The attitude towards multilateral cooperation has become very critical. The new US trade policy is likely to have a major impact on global economic growth and the future of open trade. The exit from the Paris climate agreement and the withdrawal from Iran's nuclear programme agreement are also indications of the Americas first policy. The United States is also more sceptical about the human rights treaties and the UN human rights bodies. Both China and Russia are traditionally opposed to the universality of human rights and are now increasingly seeking to create an alternative interpretation of human rights and democracy. It is important for the EU to play an active role in this area. It is essential for Finland that the United States continues to be committed to European security. There are many disincentives to America first, from the administration and from Congress, and the picture of the United States is not clear. After all, this is largely a system built under the auspices of the United States itself. It is therefore important to continue the dialogue with the United States in order to avoid damaging Western cooperation. It won't be easy, but diplomacy isn't just global. The problems of Western cooperation currently benefit Russia in particular. Opened game mode has been used in Syria, for example. Russia is currently seen as a bigger player in world politics than its real resource base would justify. At the same time, Russia uses non-military resources to achieve its goals in a new way. In particular, consideration will be given to responding to hybrid operations and to the impact of information, although it should not be thought that these means would only be used by Russia. Four years ago, Russia illegally joined the Crimea that belonged to Ukraine. It is apparently the first time since World War II that a state is seeking to transfer its own recognized international borders by force. At times, Russia takes a rather specific view of the efforts of the international community to clarify matters. It is important that we do not start to question the existence of information and facts in the Western countries more generally. China is critical of the international system which it considers to be the creation of the Western powers. China wants to shape the international order more in line with its increased weight, interests and views. China is doing this, among other things, through its own new initiatives and by creating new concepts from its own perspective. China is also able to mobilise support for its objectives through economic means. Finland also needs to pay more and more attention to this development. Madam President! An important basic pillar of Finnish security is a functioning rule-based system that aims to prevent crises and resolve them through peaceful mechanisms. The collapse of the system and consequently the unpredictable and unregulated use of force would seriously undermine Finland's security. The confrontation between the superpowers and the power policy have already made the situation picture in our neighbourhood many shades darker. Nuclear intimidation, even the first use of nuclear weapons, has again been on the agenda. General uncertainty has increased. The major powers have so far complied with the nuclear agreements, such as the Non-Proliferation Treaty and the agreement between the United States and Russia on the restriction of strategic weapons. Informal initiatives, such as Finland's programme to combat nuclear terrorism, have been successful in increasing nuclear safety. We have been shocked to witness violations of the CWC by a chemical weapon. However, the main victims are ordinary weapons. I am pleased that Finland has played a strong role in the implementation of the Arms Trade Treaty. Finland is also at the forefront of the search for answers to the challenges posed by new technologies, such as autonomous weapon systems. Madam President! Global security threats require global solutions. Poverty and inequality, uncontrolled migration, climate and terrorism are challenges that no country alone can solve. International cooperation is needed. Defending and promoting an international rule-based system is one of the strategic priorities of Finland’s foreign and security policy. In order to achieve this, the unity of the European Union is essential. But we must see that there is also life outside the EU. Strengthening the international rule-based system requires cooperation with similar partners in Asia, Latin America and Africa. Just last week, I talked to several of my African colleagues about strengthening cooperation in support of the UN and the rule-based system. Many were concerned about the actions of both the United States and China; many wanted the EU to play a leading role. We must also continue the dialogue with NGOs, businesses and other actors. They have the expertise and enthusiasm to act for the climate and human rights as well as to combat hybrid threats. The UN is the backbone of an international rule-based system. The European Union and Finland must increasingly support and reform the UN. European organisations, such as the OSCE and the Council of Europe, also have an important role to play. Mr President! Finally, the Finnish Parliament and its representatives and parliamentary parties have impressive international cooperation mechanisms and networks. These are important for strengthening the international system. International meetings of parliamentarians in various organisations and conferences provide an opportunity for dialogue and exchange of ideas. The international rule-based system is worth defending and, Madam President, Finland is at the forefront of defending it.
ParlaMint-FI_2018-06-12-ps-64.u4	The next item is the speeches by the parliamentary groups.
ParlaMint-FI_2018-06-12-ps-64.u5	Mr President! In these times, it is said of world politics that it is the power that speaks. It is a force that speaks, which means that the power policy, if taken far, has taken on contract-based, rule-based necklocks. It can also be said that, in a certain way, the power policy is being highlighted at the moment in three. The rules of the game are the safety of the little ones. The rules of the game are for everyone, but they are specifically for the small. Contract-based cooperation is needed for a great many reasons, which the Secretary of State has just explained very well, not least in order to curb climate change, to control and defeat terrorism, to end wars or to eradicate poverty, and this will require the strength of the greats. It is not enough for the smaller ones and everyone else to be active in this matter, but rather for the strength of the greats. Reference was made here to the role of the European Union. It can be the voice of responsibility and reason, and it should focus on big things when it is a peace project. Even now, it must be a global peace project and, in order for it to be, it must safeguard its ability to act and its unity, and it now has its own chance in this situation. And when it comes to the EU, the role of the OSCE and the important role of the Council of Europe in upholding rule-basedness must also be included in the same breath. Mr President! What is essential is that even in this situation, we do not give up. When we believe in contractualism, we Finns and others must continue to act. Don't give up. This also requires patience in defending this important principle and in defending the UN. To conclude, when it was said earlier that it is the power that speaks, it will be replaced by saying: it is a common responsibility that bears and saves.
ParlaMint-FI_2018-06-12-ps-64.u6	Madam President! The political position of the European Union has deteriorated worryingly in a short period of time. Until last spring, concerns were expressed in our neighbourhood, mainly about the increase in tension in the Baltic Sea. The transatlantic relationship between the United States and the EU is now rapidly under crisis. At the recent G7 meeting, Chancellor Merkel described the situation aptly: President Trump's actions were a shocking and depressing experience. Now we finally have proof that Trump does not care about his allies, and only the United States is important to him. For Europe, this means even more clearly that European countries must together defend European principles and values without having confidence in the support of the United States. We must ask ourselves what matters we now have to deal with alone. — I have quoted to this extent, because this is what is at stake. The European Union is now being challenged in two directions: the East and the West. It is clear that the confusion of the West gives Russia many advantages that it consistently exploits. Merkel’s words quoted above are hard text, and it is important to note that we are not outsiders. We are 100 % in the same European boat in the position of a rower. Finland has a twofold problem. In trade, foreign and security policy, we are highly dependent on good cooperation with the United States. Therefore, when we must always be in a long run in good relations with the United States and see over temporary problems, we must also be determined and loyal to the common objectives of the EU. As an exceptionally dependent country on foreign trade, we need, among other things, a functioning WTO, free trade, the Paris Agreement on Climate Change, a common security policy and a continuation of Iran's nuclear restriction agreement. It is sad that right now, when the EU should be strong and united outwards, it is torn up by the Brexis, the refugee issue and the internal, divisive, values-related problems in Eastern Europe. Europe now urgently needs mutual loyalty and strong, thoughtful leadership. In this activity, Finland must play a key role. We're not out. We're in.
ParlaMint-FI_2018-06-12-ps-64.u7	Mr President! The disregard of states for the rules of the post-war multilateral rule-based cooperation gives rise to serious concerns. The alternatives to this cooperation, which brought prosperity, stability and security to the world, are either anarchy or a military or economically stronger attempt to dictate the order best suited to itself, and these roads lead to conflict, war and human suffering. In a world of growing interdependence, nuclear power does not achieve lasting benefits at the expense of others, but only in this multilateral cooperation. In this situation, it is important that Finland and the European Union, which are now subject to high expectations, act in every way in favour of rule-based cooperation and deal with and sanction its violations in the same way, whether it is the occupation of Crimea, Compliance with the Paris Agreement on Climate Change, violation of WTO rules or respect for Iran's nuclear agreement as confirmed by the UN Security Council. Finland too must be prepared for the problems of power and dictation policy, but we must not just be prepared. We must also make full use of our potential to contribute to stabilising international development through rule-based cooperation and also through our own efforts as a peace broker and a respected crisis management expert committed to human rights and the rule of law, and, hopefully, once again as a fully-fledged tool for development cooperation. Finland’s security and influence are best promoted as we continue as a partner in close international cooperation as a militarily non-aligned country. Climate change, biodiversity loss or global concentration of wealth that threatens the future of all mankind
ParlaMint-FI_2018-06-12-ps-64.u8	Madam President! Africa is a question of the fate of Europe, as Mr Soini has said. African population growth is the fastest in the world, but social development has not kept pace with this population growth. Youth unemployment in particular is high, and for many young Africans, Europe is dreaming. One remedy to boost economic growth in Africa is economic integration, specifically among the countries of the African Union. Removing customs duties would create an internal market the size of a continent. The establishment of a free trade area in Africa has now taken promising first steps. But perhaps a little unexpectedly, according to studies, as African wealth increases, the pressure also increases to move towards Europe, because such a move in itself requires money. In African countries, good governance, a more balanced distribution of income and increased vocational training are needed. With these provisions, Finland also eventually rose from developing country to industrial state. Mr President! Another very important foreign policy issue for Finland is, of course, Russia. Recently, there have been calls from some European extremist right-wing parties for the lifting of Russian sanctions. These same parties are believed to receive funding from Russia. The Blues consider such activities to be contrary to Finland’s national interest and also to be contrary to security. In Finland, all parties must insist that joint sanctions are not withdrawn until Russia has shown progress in the steps towards peace in Ukraine. The concerns and irritation of the Finns who have suffered for their part from sanctions should not become unnecessary and meaningless. Each country must comply with the common rules of the game. In the opinion of the Blues, Finland therefore needs rule-based multilateral international cooperation.
ParlaMint-FI_2018-06-12-ps-64.u9	Mr President! International multilateral cooperation, and especially development aid, is a challenge. Some might even say that this is a non-developmental money, for the results often do not speak for themselves. Matti Kääriäinen, a foreign affairs adviser and retired ambassador, has written a book on the subject The Curse of Development Assistance. If you do not believe us, hear even a person who has studied the results on the spot. He says that development aid may even increase misery. I can sign it myself for more than ten years as a resident of the developing world. This year, less than EUR 170 million will be allocated for multilateral development assistance. Globally, development aid has been pumped into trillions. Have you noticed any significant developments?
ParlaMint-FI_2018-06-12-ps-64.u10	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u11	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u12	Mr President! Today, in the aftermath of Singapore, it is easy to share the joy of people on the Korean Peninsula who have high expectations of this situation. Of course, the South Koreans and also the North Koreans have the idea of combining the Koreas in the air. Above all, it is important to get the Korean Peninsula free of nuclear weapons, to bring families together and to re-establish human rights and civil liberties. I hope this happens there. At the same time, two major powers, Russia and the USA, have both, through their own actions, broken the international order, Russia, of course, by breaking the international security policy book for Ukraine, the USA by breaking out of the climate agreement and by breaking the rules of trade in the world. It is quite clear that small countries cannot survive in a world like this that operates without rules. That's when the big ones talk. Of course, Finland's interest, the interests of countries like us, is to take care of international rules of play. I hope I agree with the Foreign Minister that the EU in this situation is not part of the problem but part of the solution. We need to strengthen our own participation in the EU, create a system from the EU that supports the rules of international trade, which deals with climate issues and which manages the environment in the world. It can deal with refugee issues. It may be more active in Africa, to which reference has already been made. We should also, as the Minister said, take care of our own development policy and support for the UN. It is very embarrassing today to move around as a Finnish when we talk about our development effort, because it has been too low in recent years. We need to fix that. Finally, when you look at a situation where, as it were, the rules of the game in the world are changing and the blocks are moving, this is a dangerous situation for a small player such as Finland, but it may also give new opportunities to create new partnerships, to work together with African countries, for example, to look in the world for those who want to build this international order on the basis of the rules of the game, and this creative moment should also be exploited by a small, agile country such as Finland.
ParlaMint-FI_2018-06-12-ps-64.u13	Mr President! In the era of rapid climate change, spreading conflicts, large migrations, ocean pollution, global production chains and tax havens, it is clear that the fates of earth’s countries and people are intertwined. We're all in the same boat eventually. Global problems require global solutions, multilateral international cooperation. Multilateral cooperation must be genuinely multilateral, not dictated to the rest of the world by Western industrialised countries. For example, global taxation issues should be dealt with multilaterally within the UN, not just between industrialised countries. Regrettably, the United Nations Security Council, dominated by the major powers, has been unable to resolve conflicts. The UN system is needed, but it needs to work better than it does at present. Despite the problems, we must increasingly defend the world order of reconciliation and cooperation, because there is no other way in the end. We must pursue the cause of humanity as a whole and not just the short-term selfishness of individual countries. Mr President! The situation in the Middle East is very tense. Trump's recent decisions to withdraw from Iran's nuclear treaty and to transfer the embassy from Tel Aviv to Jerusalem have increased tensions in the Middle East. Finland, the EU and the entire international community should now make every effort to alleviate the situation in the Middle East. It is important that the rest of the international community adhere to the Iranian nuclear treaty. Finland and the EU must support the end of the illegal occupation of Israel in Palestine and the genuine peace process between countries. Furthermore, Turkey's attack on the Kurds in northern Syria must be clearly condemned. Finland must also comply with international agreements and put an end to all arms trade in warring and violating human rights countries, such as Saudi Arabia and the Arab Emirates, which are fighting a bloody war in Yemen. Mr President! Finland must be a doctor of the world, not an arms dealer. The doctor’s toolkit also includes development cooperation, and the level of funding must be raised.
ParlaMint-FI_2018-06-12-ps-64.u14	Mr President, värderade talman! The old saying is that the chain is as strong as its weakest link, and this applies quite well in the international community and in cooperation. Over the years, the countries of the world have agreed on a number of rules and rules to make world spending and cooperation more stable, more proactive and more ambitious. But if, one day, one major body, based on purely national considerations and a policy of force, decides to act contrary to the agreed rules, the whole basis for cooperation is waning. This is exactly what has happened when Russia decided in 2014 to hijack the Crimean peninsula for itself, and this is what happened when the US Presidential Authority resigned from the Paris climate agreement and recently decided to impose import duties on Europe. We certainly do not need a trade war and squabbling in this already confused world situation. Let us hope that at least last night's summit in Singapore will bring about relaxation and even a lasting positive atmosphere. There are also bubbles within the EU. Some Member States, such as Poland and Hungary, are challenging the agreed core values of the Union. Brexit, on the other hand, is the result of a public opinion likely to be influenced by outsiders — a symptom of unscrupulousness, too. The risk of having a hybrid effect should not be underestimated in Finland either. This is what scientists have warned us about. We are about to have three elections here in Finland — even if the need for a hybrid influence on purely provincial elections seems increasingly unlikely.
ParlaMint-FI_2018-06-12-ps-64.u15	Mr President! Our international policy environment has become more unstable. The current international order and free trade cannot be taken for granted. And when Finland is an export-driven country, it is also important for us to defend free and fair trade, with values linked to democracy, human rights, human dignity and the rule of law. The cruel and widespread violations of human rights in North Korea, including restrictions on freedom of expression and religion, were left behind in today's summit. However, the objective of nuclear disarmament is a necessary starting point for peace development and, hopefully, will also open the door to the examination of human rights. What a president. As far as Trump's policy is concerned, I do not think there is any reason for cynicism today, but we must thank him for at least trying to open up the disaster site on the Korean peninsula. While looking at South-East Asia, it is worth remembering the smoking crisis in the Middle East. Relations between Israel and Iran have become tense due to the Syrian war. Iran's financing and armed support for terrorist organisations in the Middle East are a constant threat to the region. Just a few days ago, Iran's top leader, Ayatollah Ali Khamenei, tweeted that Israel is a malignant tumor in the West Asian region and should be removed and eradicated. In the Middle East, Finland’s central target has been the Palestinian education system, which is a good target, but unfortunately even new schoolbooks contribute to martyrdom and war, as the prestigious IMPACT Research Centre has been concerned about the radicalisation of the entire Palestinian Authority’s curriculum. I think it would be important for the Finnish Government to assess what the Finnish policy is on this issue. We are sending out a very contradictory signal if it turns out that we, as a state, are involved in supporting jihadism and hate speech.
ParlaMint-FI_2018-06-12-ps-64.u16	Now the Prime Minister has asked for the floor — no more than three minutes. Then we'll start the debate.
ParlaMint-FI_2018-06-12-ps-64.u17	Mr President! The UTP report two years ago stated that the change in our operating environment will continue to be strong both in the neighbourhood and globally. The changed operating environment was found to be characterised by the speed and unpredictability of change. It is good that today we are also discussing this situation here in the Chamber. Our international position is based on our ability to understand our changing operating environment. Foreign Minister Soini said that power policy and selfish national interests have returned. General uncertainty and unpredictability have increased. The cornerstones of international trust are global institutions, rules and compliance with agreements. They're all getting weaker now. It is important for Finland that we return soon to respect each other's statutory cooperation and multilateral trade, in accordance with the agreed rules of the game, in consultation and in solving problems together. The absolute advantage of Finland is to build and strengthen an international rule-based system. Mr President! The change in the operating environment, including the activities of Russia and the United States, has also put pressure on the activities of the European Union. Especially now, when the world is a little wobbly around us, the EU should take its place, remain united and strong. The EU must not become a spectator of world politics. The European Union also has an active role to play. This should continue to be the case. As an active and participating Member State of the Union, we are also a bigger player than we are at international level. The EU must be an uncompromising defender of free trade. We must continue to work actively with the various regions. New trade agreements must be concluded and the ongoing negotiations completed. We must convince both our internal and external partners that protectionism and roll-in do not contribute to our common goals. The same applies to climate policy. The EU must also take on an unambiguous role as a leader in climate and environmental policy, as well as as as a defender of human rights and democracy. We don't have a choice. So, what does Finland do? We have consistently stressed the importance of an international rule-based system and its strengthening at bilateral meetings as well as at EU meetings. We will continue this activity with determination and active action.
ParlaMint-FI_2018-06-12-ps-64.u18	The possibility of replying is now being opened. I'll give you two minutes of answers. I ask you to reserve them by pressing the V button and standing up. Mr Vanhanen will begin these replies. - Please, two minutes.
ParlaMint-FI_2018-06-12-ps-64.u19	Mr President! I think that this debate shows that, in a very common sense, we are aware of the challenge that we are facing at the moment. Representative Sarkkinen made a long list of global challenges that would require agreements and joint organisations. At the same time, it is, frankly, a sad paradox that we have states and even more political forces that undervalue these rules are prepared to break them, want to weaken international organisations. At the same time, we have a lot of political forces around the world and also across Europe who are seeking national domestic political power, frankly by inciting people, by talking about sovereignty and the pursuit of national interests. The combination of what these large countries are doing at the moment is indeed an extremely difficult equation. Sometimes in the face of such an arrangement, of course, you have to ask what we do to answer this. After all, it is time for simplified and simple answers. The first is that we ourselves must respect and defend strictly the agreements in which we are involved — sometimes it makes you want to say it with a good look, even though I know that it causes irritation to many people. But if agreements are broken, then every violation is a permission slip for others to continue to break it, and that is where the cycle begins. Secondly, as the Prime Minister has just said, we must strongly defend the international rule-based system in international cooperation. We must also say to our own people that we are prepared to compromise sovereignty when we negotiate international agreements. Then, in the area of their agreements, we will give up a little bit of sovereignty, but we will be counterbalanced by a more stable operating environment and common rules of play, and that benefit will be much greater than the part we give up at the joint table to resolve. This is the big question that really determines the attitude we take towards resolving international issues.
ParlaMint-FI_2018-06-12-ps-64.u20	Mr President! Representative Vanhanen spoke wise words just now, important observations. But I want to address one detail that I think is really important from the point of view of the coming decades, and that is the impact of climate change and demographic change on Africa. I was very pleased when Mrs Elo raised this issue. At present, population forecasts indicate that in the 2050s, Africa is facing a situation of 2.5 billion people instead of the current 1.2 billion. There will then be more than one billion people under the age of 25 on that continent. If we do not now start to do something about these things, the situation in Africa, we are facing people's escape from a climate of climate change, from a demographic region. There is a need for clean water; there is a need for food; there is a need for training; there is a need for jobs; there is a need for infrastructure in general. It would be interesting to hear, Prime Minister. Sipilä, your point of view on whether European cooperation could concentrate. After all, there is a total amount of EUR 55 billion per year spent on development aid by the Member States and the Commission. Is it time to focus on coordinating this aid to Africans, as it were, as a European Marshall aid to Africa? We too have had help, and now should be the time to strengthen the future of that continent. I think it would be a good thing for a strong European Union to get started on this issue, and I think that Finland should be a strong influence in this debate in order to move these issues forward.
ParlaMint-FI_2018-06-12-ps-64.u21	Mr President! Looking east, looking west, you can’t help but wonder if a small country has a terrible role to play in such turmoil, other than reacting to what is happening in the field of big forces. By taking this kind of bystander's attitude in the light of Finland's story, in the light of developments since the Second World War, we would not have had room for manoeuvre and would not have secured the strengthening of our international position. In this way, although power policy is currently challenging multilateralism and the world of interdependence and international institutions, there is a particularly strong need for us to persist in pursuing an active foreign policy on various measures. Finland has a proactive role in international politics — the President of the Republic is a good example of this — and even in an international and European context, it has a high profile in its activity. Let us look at the Baltic Sea, see what will happen in the Arctic. It may have the keys to bigger solutions on our hands. And so on, not to mention Ukraine in any way. It is important that Finland can play an active role, a positive role, a constructive place in international politics, while, of course, ensuring that the role of small people is safeguarded. Of this, Finland has excellent evidence in its accounts at the moment and also has at its disposal the views for tomorrow, on which Finland's position will also be taken care of, while promoting positive international development.
ParlaMint-FI_2018-06-12-ps-64.u22	Madam President! Yes, there is a strange, positively strange thing about Asia. There are Presidents Donald Trump and Kim Jong Un telling the world, as it may be today, perhaps the new normal, i.e. past the two leaders of the old-fashioned models only, at most the interpreters are there, and I would like to ask: what is our government's position on this, is this perhaps one of the future lines, that perhaps in the future the leaders of the former organizational models will negotiate with each other and then some of them will be left just to the press and will not be able to influence? Then this development aid, which came out of this speech by Mr Raatikainen: I have a slight disagreement when Mr Raatikainen said that it has caused nothing. Yes, it has mattered. It has greatly reduced child mortality in African countries. But here has been the big paradox that when no structures have changed at the same time, it has then led to more and more of these development aids in the next generation, and this population growth in the world — which has come to this many speeches — is the greatest factor causing them. The cause of climate change, the cause of many wars, the cause of famine, is this huge population growth, which is precisely there in African countries and in the Middle East. That is what I would like to ask our Foreign Minister Soin: Now that we have presented this development aid model, what have the Finns had for many years, how do you feel about it today? Is there a key to solving this problem?
ParlaMint-FI_2018-06-12-ps-64.u23	Madam President! I believe that Mr Soini used perhaps one of his best speeches today, which I myself have witnessed. I think Soini also well described the ground currents, the big currents that are reflected in this change in the international rule-based system: transatlantic change, US action, Trump's action, Brexit, Russia's power policy, and China's kind of expansive economic policy, which is also a power policy. Once the international rule-based system has been challenged, the question is: how is Finland best to safeguard it? Today, excellent speeches have been made throughout this Chamber. Perhaps I should now like to ask one of the tools of the work, specifically development cooperation and the ways in which the root causes of conflict can be removed from the various conflict areas, to remove the pushing causes, which are why people are forced to leave their homes and perhaps to flee from one continent to another. Now that there has been a debate on increased emissions auction revenues in the context of the amending budget, I would like to ask the government ministers: could these increased emissions auction revenues be used more and more for development cooperation and international climate finance? Secondly, when we talk here about the increase in the population, does not Mr Soin also think that the most effective way to ensure the right of girls and women to self-determination, to safeguard sexual and reproductive health? Is that not one of the best ways to manage demographic trends?
ParlaMint-FI_2018-06-12-ps-64.u24	Madam President! I remember when I began my job as a Member of Parliament in this house 15 years ago, when there was quite a wide-ranging perception that the market economy is also spreading Western values, the rule of law, democracy, human rights and so on in the world. Now that I look after 15 years, I regret to say that this has not happened — even if we look at China, we look at the development of Russia, but we also look at today's United States, our central transatlantic ally, who is also today seriously questioning these Western values. A number of colleagues have said that the great power policy today emphasises the use of force, and although it must be said that the first news of today's Presidents meeting It is true that Asia is positive, yet I feel strongly that the world cannot be built only on bilateral deals between the major powers, but it requires rule-based multilateral cooperation, and it is, of course, as many people here have said, also in the interests of a small country, like Finland. Mr President! For us, the central framework for action on multilateral rule-based cooperation is, of course, the European Union. It is very sad that, in this situation, when Europe has a place for a thousand dollars to raise its profile, for example, as a solution to the Middle East crisis or as a supporter of Africa's development, we are internally so divided. If I look only at the United States' actions in the Middle East, for example — President Trump's decision to transfer the delegation to Jerusalem or to withdraw from the Iranian agreement — this would now give Europe a completely new opportunity to raise the profile also as an international, global player if it were able to do so. I therefore see that next year's Finnish Presidency of the European Union will also enable us to build a stronger, unified global player from the European Union, and I hope that Finland will take this opportunity to take advantage of it.
ParlaMint-FI_2018-06-12-ps-64.u25	Madam President! Prime Minister Sipilä said that the European Union must make a strong contribution to human rights and democracy. I fully agree with that. At the same time, it is extremely problematic that the EU Member States, Poland and Hungary, take the lead in violating these fundamental principles of the EU, and if we move forward throughout the world with democracy, human rights and freedom of expression, it will be very difficult to move them forward if, at the same time, the countries in our own organisation are violating these values. On the other hand, if one considers that the EU has concluded a refugee agreement with Turkey, for example, and Turkey's action against human rights and democracy — how the Kurds are attacked and bombed and killed in both their own country and Syria — this cannot be tolerated. The Committee on Foreign Affairs visited London and we also met with the Foreign Affairs Committee in the upper room, and I asked the lords how they saw NATO's role in this: should NATO not react when NATO's member countries, Poland, Hungary and Turkey, violate human rights and fundamental principles? For a while they looked surprised and said that NATO was not an organization founded to promote these fundamental values. Portugal, Greece and Turkey joined NATO and were dictatorships then. So NATO is not a community of Western democratic states, was the message of lords. Mr President! As Mr Vanhanen, chairman of the Committee on Foreign Affairs, said, international agreements must be respected. But in the same way we must follow the principles we have, and then we cannot, for example, trade arms with Saudi Arabia or the Arab Emirates or buy military equipment from Israel. They too are at war with these principles of ours.
ParlaMint-FI_2018-06-12-ps-64.u26	At this stage, I will give three replies, followed by Minister Estonian, and after that I will continue. These three people are Biaudet, Essayah and Huovinen.
