ParlaMint-UA_2007-12-18-m0.u1	Good morning, everyone. Ladies and gentlemen, I ask you to register with the "Council" system. [[10:06:29]] Ladies and gentlemen, 227 Ukrainian national deputies have registered in the Hall. The morning session of the Supreme Council of Ukraine is publicized. Dear colleagues, I would like to remind you once again of the decision that was taken on Friday in a unanimous manner, both at the Conciliation Council and in general, was approved by all the national deputies who took part in the Friday vote. This is about shaping the order of the day. We have a few questions on the agenda. The first and most important question is the appointment of the Prime Minister of Ukraine. Thus, the first issue of the agenda is the consideration of the appointment of the Prime Minister of Ukraine by the President of Ukraine. In this regard, however, there are several additional questions to be considered by the Ukrainian National Deputies: the question of the dismissal of the Prime Minister of the question of the termination of the powers of the current government, the question of the appointment of a new government and the question of the permanent termination of the powers of the Ukrainian National Deputies, which, if voted for, will become members of the Cabinet of Ministers of Ukraine. We also actively worked yesterday at the Conciliation Council meeting and the cluster of issues related to the formation of the Governing Body of the Supreme Council, we hope that today will begin in part of our consideration. If not, objectively, if we do not have enough time, we will carry it on to the next day. In view of this, honourable national MPs, I have announced today's agenda, and I would like to inform you that, yesterday at the Conciliation Council meeting, we have actively remodeled the order of today's day, including the basic approaches to voting. The grateful Counting Commission, which met today and yesterday on the issue of voting order formation, as it is a matter of actual change in voting methods, and for the first time in the history of the Ukrainian Parliament, this particular voting mechanism has been proposed. By the way, this is the voting mechanism that is foreseen in many parliaments around the world, starting with Britain and Canada and ending with Spain, Italy and even Poland. So we're basically ready for today's meeting. I'd like to welcome the National Deputy of Ukraine, Mikola Stepanovitch, with your permission. I'd like to welcome our colleague. [[Applause]] In order to finalize the agenda and resolve all regulatory issues regarding the meeting, two factions are the factions of the Yulia Timoshenko and Our Ukraine – People's Self-Defense – have requested a 30-minute recess. According to the Rules, I am obliged to give them a 30 - minute break. Thank you. In 30 minutes, we'll resume the session.
ParlaMint-UA_2007-12-18-m0.u2	Ladies and gentlemen, the time has run out, which was taken for a 30-minute recess. I'm asking everyone to take their seats. Dear colleagues, so I'm going back to the order of today's plenary meeting. This is about the decision to appoint Prime Minister of Ukraine Timoshenko Yulia Volodymyrna. In accordance with article 37 of the Rules, the voting order has been changed. The count committee held a meeting yesterday and today on this subject. In view of this, I would ask the head of the Counting Commission on the rostrum to brief Ukraine’s national deputies about the order of voting that has been written. And I would like to point out that every Ukrainian national MP has received an appropriate voting order to get to know him and then not to be asked how and which voting mechanism has been defined by the Counting Commission. I would like to ask Mikola Harrisonovich Sherschun to read out the voting order that was determined by the Counting Commission in order to ensure that there are no questions about the voting procedure under the transcript. Mikola Haritonovich, please.
ParlaMint-UA_2007-12-18-m0.u3	Dear Head, distinguished national MPs! In accordance with the decision of the Supreme Council of Ukraine adopted on 14 December 2007, on the way to vote, I remind you of the voting procedure regarding the formation of the government, the appointment of the Prime Minister of Ukraine, the dismissal of Prime Minister of Ukraine Yanukovič Viktor Fedorovich, the suspension of the active composition of the Cabinet of Ministers and the formation of a new composition of the Cabinet of Ministers of Ukraine. Each of these issues is being considered, I emphasize, on my own. And each of them is voted on separately. In addition to the registration of Ukrainian national deputies by electronic means before the opening of the plenary session, such registration will also take place immediately before each vote begins on the relevant issue. At the beginning of the vote, the chairman asks: “Are there Ukrainian national deputies in the hall who wish to participate in the vote but have not registered? ” And if so, the chairman will invite them to register immediately, and there will be a card placed in the slot of the remote. The head of the reckoning commission of each deputy faction in the alphabetical list reads the name, name and surname of the Ukrainian national deputy, showing the video on the board. Every Ukrainian national deputy whose name has been announced, in that case, if he votes in favour, raises his hand and says, “Yes”. If he votes "against" or "restraint", he does not raise his hand and, while sitting in his workplace, announces his own decision. After that it can't be changed under any circumstances. The will of the Ukrainian national MP is fixed using audio and video media. In this case, every Ukrainian national MP who participates in the vote includes a microphone for the voice confirmation of his or her own will and for the record of the plenary session. Following the announcement of the last name of the Ukrainian National Deputy on the list of the deputy faction whose members have registered in the session hall, the head of the counting commission asks: Are there members of the factions who have registered and have not yet voted but who wish to vote? If such national deputies are present, they will be given the opportunity to vote. The voting procedure is completed. Dear People's Deputies, you're being handed over, I'm underlining, an outstanding, determined procedure for voting on each of these issues regarding the government of Ukraine. The roll-call process is fixed and controlled by the Counting Commission of the Supreme Council of Ukraine. At the end of each vote, the chairman of the plenary shall announce a recess of up to 30 minutes to hold a meeting of the counting committee to establish the results of the vote. Once the results of the vote have been established on each of the issues relating to the Government of Ukraine, the relevant minutes of the meeting of the Counting Commission shall be drawn up. On the basis of the protocol of the Counting Commission, the Head of the Supreme Council of Ukraine has signed the relevant decrees of the Supreme Council of Ukraine. Thank you for your attention.
ParlaMint-UA_2007-12-18-m0.u4	Thank you, Mikolo Haritonovich. Ladies and gentlemen, is there a question for the head of the Counting Commission in the voting procedure? No questions from the voting procedure? None. Honourable National Deputies, in accordance with article 85 of the Constitution of Ukraine and article 200 of the Rules of the Supreme Council of Ukraine, put to the vote the question of the appointment of Prime Minister Timoshenko Yulia Volodymyrovna. Order number 1175. I ask the head of Mr. Sherschun's Counting Commission to provide. Excuse me, Your Honor, the procedure requires the following things. This is about the 200th Rules foreshadowing a speech by the Prime Minister, foreshadowing discussions and foresight of questions and answers. That is why I would ask Julia Volodymyrna Timoshenko as the candidate for this post in the Supreme Council rostrum in order to make an appropriate speech within the framework of the Rules in thirty minutes. [[Applause]] Julia Volodymyr, please. Please, two words. Please, Julia Volodymyr. Julia Volodymyr, please.
ParlaMint-UA_2007-12-18-m0.u5	Dear friends, please don't be nervous. You know what presentation is. And there's a second presentation. If you need to read it. Do you have a presentation to read? Please read it.
ParlaMint-UA_2007-12-18-m0.u6	In accordance with article 106, part three, paragraph 9, of article 116, of the Constitution of Ukraine, the President of Ukraine has again submitted a proposal for a coalition of deputy factions in the Supreme Council for the sixth appointment of Timoshenko Yuli Volodymyrina as Prime Minister of Ukraine. December 12, this year. The materials are all handed over to the Ukrainian National Deputies. Who wants to meet, please? The Supreme Council of Ukraine’s apparatus was fully and fully prepared for this issue. I report: The President has already presented this candidate, and according to the Law on the Cabinet of Ministers and the Constitution, it is not mandatory for the President to be present at the time of the nomination. I have read the corresponding application. I'm asking for order in the hall. Julius Volodymyr, please.
ParlaMint-UA_2007-12-18-m0.u7	Dear friends, good day to you all! I think that we all, working in the Supreme Council, are deeply aware of what is happening in the walls of the Supreme Council. I think we've had our first foreclosure of the results of the election for the Prime Minister's candidacy. And I intend to sue that vote in court. And without any return to the results just in court to prove that it was a forged vote, and that this vote was done in such a way as to destroy the democratic coalition, humiliate the democratic forces and destroy the results of the vote. I think we all understand why they don't let the democratic coalition into power today. Because corruption, because the theft of state property, because everything that has to do with the destruction of Ukraine's national interests, has reached such a level that there is no right for people in power to allow us to see and verify what they have done with the country in recent years. [[th m in s a l i]] On the verge of bankruptcy of NAK Naftogaz Ukraine, central gas networks. Maybe a week or two, and they'll start a procedure that will permanently take away its strategic property in Ukraine. It's not a random thing, it's a planned absolutely procedure. And today they are waiting for the end. And only the early elections and the creation of a democratic coalition today threaten these unclean plans in relation to Ukraine. You know, there was an Energoatum system on the edge of the feed. Fifty percent of Ukraine’s electricity is supplied by nuclear power stations. And in the last minute, they stopped signing a shadow joint agreement that gave these powers to our state absolutely not. I think it all happened in our eyes, in politicians, but unfortunately not in the people of Ukraine. I'm not going to talk about the Black Sea and the Azov Sea, and not the Ukrainian nation, not the Ukrainian nation, not the Ukrainian people, are going to extract these resources and put Ukraine in the service of economic and energy independence. Every day, Ukraine loses what will be virtually impossible to return. The dishonest, dirty, corrupt privatization of Ukraine’s strategic objects continues even in these days. More pieces are trying to break from the body of Ukraine, which is practically debilitated by this gang. And I realize that the last three days have not gone to work, and at night and day and morning, so that there are no two or three votes for the vote on my candidacy. Because they're dyingly afraid that I, as a man unattracted to these clans, can bring order to the state and give results. And I have not once come to power to prove that order can be guided. Each time, however, the oligarchs were united near another authority, preventing the matter from being brought to an end. And now there's no guarantee that during the roll-call vote, two or three votes won't be enough again, because serious arguments were given to these people so that they wouldn't do that. And I know very well who they were seeing yesterday and today, so that these voices wouldn't happen. But, dear friends, I think the processes of cleansing Ukraine are irreversible today. Well, maybe for a few more months you'll be stuck in power, well, maybe you'll be able to tear a few more months from the Ukrainian resources, but then you'll still have to go back to the last drop. Remember My Words I think today's vote will be a moment of truth and a test of the strength of the democratic coalition, of the commitment of individual politicians to order in Ukraine, and of building truly our national independence. I think these policies may or may not pass. But I want to say that I will take any result of the vote courageously and that our team will continue the way it must go. And sooner or later you report it, the whole gang reports to Ukraine for what it has done with its present and future. And I would like to take this opportunity to thank all of our partners in the democratic coalition who have walked this path honestly and consistently, who have not deviated from our values, which we have published on the Maidan. I want to thank "Our Ukraine is the People's Self-Defense", all the politicians and the political forces that are part of this bloc. I know how you fought, I know how much effort you've made, and I know that your position today is unchanged, even if something happens extraordinary. I want to thank my colleagues, my team members, because I know that you will continue to walk this path honestly, and no one will demean your dignity. I think today’s vote will be a testimony to what shadow politics is in our state, or it is not. Unfortunately, we can't predict the results, but we can only see them in summary. And so, by also addressing the people who now hear us on television, on the radio, I want to tell you that our team will make every promise, every commitment they made to you during the election campaign, no matter what opposition they make. I want you to know that you have quite a lot of patriots in politics who will keep this flag very and very high and will never let it down, no matter how many people there are in the democratic coalition. I want the people of Ukraine to hear right now that it is not just hope, but clear confidence in the serious profound reforms in Ukraine. There is because we are firm and we will not be humiliated by the dirt, not by the corruption that is going on around us, nor by any other allegations that are forged. I want us at this time to be strong and the only people who understand what a democratic coalition is doing. I thank you for your attention, and I am ready to answer your questions.
ParlaMint-UA_2007-12-18-m0.u8	Thank you, Julia Volodymyr. Ladies and gentlemen, we now have 30 minutes to ask, answer, and discuss. The Conciliation Board discussed the issue that if a candidate for prime minister does not give up the report, we are necessarily obliged to give the floor, and we have given it. Questions, answers, and discussions depend on the will of the national deputies. If there is a desire for questions and answers, I ask you to sign up, if there is not, then whether there is a desire to discuss a candidate. Nor is it. Do you allow me to proceed to the voting procedure? Thank you. Thank you, Julia Volodymyr. First, with your permission, I'd like to ask the head of the Counting Commission, Shershon Mikola Haritonovich, if you've received a list of registered Ukrainian national deputies with the signatures of the respective leaders of the Supreme Council of Ukraine.
ParlaMint-UA_2007-12-18-m0.u9	Yes.
ParlaMint-UA_2007-12-18-m0.u10	Got it. Honourable National Deputies, in accordance with article 85 of the Constitution of Ukraine and article 200 of the Rules of the Supreme Council of Ukraine, have put to the vote the question of the appointment of Prime Minister of Ukraine Timoshenko Yulia Volodymirina. Registration number 1175. I would like to ask the head of the calculus commission of Sherschun Mikol Haritonovich and the calculus commission in full stock to provide the voting procedure. Please, Mikola Haritonovich.
ParlaMint-UA_2007-12-18-m0.u11	Dear Head, honourable national deputies, we begin the procedure for voting on the question of the appointment of Timoshenko Yulia Volodymyrovna as Prime Minister of Ukraine. As we agreed, the vote begins with the largest of the factions. We have the largest faction of national deputies -- factions of regions, registered -- zero. Then we postpone and move on. The deputy faction of the Yulia Timoshenko. Yeah, yeah. 156 registered. So we start with this faction. And the rest of the factions. The MP's faction of our Ukrainian People's Self-Defense, so calmly, dear friends, 72 written. Block, Communist faction is 0 and the Lithuanian Block is 0. Then we start, we start the voting procedure. I call names. May I have your attention, fellow officers? National Deputy Abdulin Alexander Rafkatovich.
