Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e526	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e559	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e1598	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e1628	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e1655	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_83125	Scherak, Nikolaus	M	1986	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e1751	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e1772	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_14795	Wöginger, August	M	1974	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e1858	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e1873	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_14795	Wöginger, August	M	1974	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2006	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2041	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_22694	Leichtfried, Jörg	M	1967	
