Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e687	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e708	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e958	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e983	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e1024	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e1051	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_83122	Meinl-Reisinger, Beate	F	1978	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e1105	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e1121	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_83122	Meinl-Reisinger, Beate	F	1978	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e1182	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e1207	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_67199	Gerstl, Wolfgang	M	1961	
ParlaMint-AT-en_2019-05-27-026-XXVI-NRSITZ-00079	ParlaMint-AT_2019-05-27-026-XXVI-NRSITZ-00079_d7e1269	Sitting Number 79, Legislative period XXVI, Monday, 27. May 2019	2019-05-27	Lower house	Legislative period XXVI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
