ParlaMint-RS_1997-12-29-0.u44	Injury of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u45	Please, MP Tomislav Nikolic, head of the Serbian Radical Party's parliamentary group, is advertising the violation of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u46	Ladies and gentlemen Members of the Parliament, distinguished guests, we are today invited to continue our constitutional session. The agenda shall be established for that sitting. This assembly is the representative body of Serbian citizens. In this congregation, just like everyone else in the world, everything goes according to one procedure. The procedure under which something is discussed in the National Assembly of the Republic of Serbia is called the Constitution, laws and Rules of Procedure and established agenda. Mr. President, you are now extending the agenda of the constitutional session, and you have no right to do so. Serbian Radical Party MPs have writtenly requested that the agenda of this session be extended to our specific requirements. I suppose it was your turn to tell us that we have no right to do so, according to the Rules of Procedure of the National Assembly of the Republic of Serbia. But that's why you don't have the right, Mr. President, to extend today's agenda to any part of the agenda, and especially to the agenda, which is called - the swearing of the President of the Republic of Serbia. The president of the Republic of Serbia should enter this door solemnly. This, however, is the most solemn act in one of the terms of the Members of Parliament to swear before them by the President of the Republic. To get into this room, he has to knock or, if he doesn't knock, you call him. And you call him on the agenda, Mr. President. What kind of oath is that you're serving us now, and it wasn't even on the agenda? Well, this isn't the law on fish farming in the aquarium, this is the laying of the sworn president of the Republic of Serbia. That's how you tell us he's not legally chosen, so he can't even take an oath. We have asked you in our demands, Mr. President, to allow us to point out a series of irregularities in the conduct of elections for the President of the Republic, especially in the second round of reelections. We have a bunch of evidence, Mr. President, that in this hall amongst the SPS MPs, especially those from Cosmet, there are people who have dared to break the Constitution and the laws, to carry out terror in Kosovo and Metohija, both towards Serbs and non-Serbs, and especially to members of the Serbian Radical Party, and especially to MPs of the National Assembly of the Republic of Serbia. I wanted to discuss it today and call each of them by name and last name, Mr. President. I also wanted to ask Mr. former police minister who arrested and arrested the MPs on Sunday, December 21st and held them until 20.00 hours in custody at militia stations. I also wanted to ask the gentlemen from Peća, Pristina, from all election units and from all municipalities in the territory of Kosovo and Metohija how they thought they would stay to live in Kosovo and Metohija, when they treat people like this, who only came to make sure that the elections were held regularly. Mr. President, as far as we're concerned, Serbian radicals, the legal treatment procedure isn't over, you know very well. The very secrecy of this oath act suggests that you yourself are fully aware that in one illegal way you choose an illegal president of the Republic of Serbia. Of course, we do not want to participate and of course Milan Milutinovic will not be president of Serbia for the Serbian Radical Party, for our voters and all those who did not vote for him. And do you know how many of those who voted for him? You don't know. You only know how much you put in the boxes, which were full at 7:00 in the morning. I can't wait, former justice ministers, to bring proceedings against us, who beat those full boxes at 0700 hours in polling stations, to see what the law in the Republic of Serbia looks like. Mr. President, unfortunately, after seven years, you have returned us to the blackest and darkest period of communism in the Republic of Serbia. I ask you to read before the MPs our request for an extension of the agenda, to read your request for an extension of the agenda, to put it to the vote and to have the assembly majority decide. First, whether this session will be transferred to another program or to any RTS program. I have your word, Mr. President, I thought it still meant that all the sessions, except for the first one where you were elected, because that first one was held during the election campaign, would all be transferred directly. Let the people see the president of Serbia take an oath. Well, is there anything more beautiful for both the president of Serbia and that political option, which he suggested, than for Serbian citizens to see the elected president take an oath? On the other hand, we asked, Mr. President, to form a committee of inquiry. In this survey committee, no one has a majority, but that MPs, on their conscience, decide whether the evidence of the Serbian Radical Party is credible, is it true that you stole 285,000 votes in Kosovo and Metohija or not. To be established by the polling committee and to propose to the National Assembly of the Republic of Serbia to make the appropriate decision. So, there are things to discuss before Mr. Milutinovic takes the oath. Those who wish to attend his oath, attend. Those who don't want to get out of this room. But this hall is one of the most solemn halls in the Republic of Serbia. The event, which you have prepared in secret for today, is one of the most solemn events. Let us Serbs get the president, all citizens of Serbia get the president, who will be proud and proud. Not to sneak into this door, not to have the police completely surround this building, occupy all the rooms in this building, and even one row, in which the Serbian Radical Party parliamentary group is sitting, in order to allow Serbia's president to take an oath. Well, who's gonna stop Milan Milutinovic from taking an oath? We're trying here for this pay phone to stop him, and we're not going to fight with you anymore. You'll be fighting alone soon, first of all. Because you have ruined all that and come to an end, which we have long warned you of. Your end is here. There's a lot of you in these benches, but ask yourselves now what you deserve. How was the election campaign, how did you embarrass yourself in the election campaign, attacking three months a day, from hour to hour of one man? How could we still win 1,400,000 votes? Well, that's 2,500,000, and that's your 200,000, that's 500,000 or 600,000. With such a campaign, Fidel Castro has 99.9% of the votes. And everything below that is defeat. I wanted to talk to you about it, Mr. President. My conscience is still and pure. Let me just remind you, when Mr. Slobodan Milosevic took an oath in this assembly, that was January 28, 1993, I mean, that was the 3rd point of the agenda. It was foreseen as a item of the agenda, as it was normal for one who won the presidential elections to take an oath before MPs within the agenda. This time there is no agenda point, and there is swearing of Milan Milutinovic. There is no victory in the election, and there is a president of Serbia. You're bringing us into a century of debauchery. I'm just hoping that you'll get drunk with this theft to call new elections, finally kick your ass in those elections, and finally the SRS, the honest and honest people, will take over this country. I had so much to free my conscience. Serbian Radical Party MPs will wait for what you decide and wait with your decision.
ParlaMint-RS_1997-12-29-0.u47	Thank you. I remind you that for the sake of taking the oath, the National Assembly has no other authority than to hear the President of the Republic swearing an oath before the National Assembly. Since the President of the Republic has been elected and is due to take office, and the first constitutional session of the National Assembly is under way, there is no legal disturbance for the President of the Republic to take an oath at the beginning of today's session. In addition, the National Assembly has had similar situations so far, so before the move to the agenda, it has confirmed the mandate of the MPs, determined the resignation of the seats of the MPs and determined the termination of the functions of individual members of the government. I ask the National Assembly to invite the president of the Republic of Serbia, Milan Milutinovic, to take an oath.
ParlaMint-RS_1997-12-29-0.u48	I'd like to vote on our request to extend the agenda.
ParlaMint-RS_1997-12-29-0.u49	Mr. Nikolic, you know very well that the enlargement of the agenda takes place before the beginning and prior to the establishment of the sitting agenda. Since this isn't the point of the agenda, because there's no need here to be a special point of the agenda. I've explained it now.
ParlaMint-RS_1997-12-29-0.u50	Why didn't you let me know?
ParlaMint-RS_1997-12-29-0.u51	It means there's a communication error. I now apologize for not being notified. (Part of the Serbian Radical Party MPs left the hall. I call on the President of the Republic of Milan Milutinovic to take an oath before the Assembly. I ask Mr Milan Milutinovic, president of the Republic of Serbia, to take an oath before the National Assembly of the Republic of Serbia.
ParlaMint-RS_1997-12-29-0.u52	I swear to all my strengths to preserve the sovereignty and integrity of the territory of the Republic of Serbia, to achieve human and civil freedoms and rights, to respect and defend the Constitution and the law, to preserve the peace and prosperity of all citizens of Serbia, and to carry out my duties safely and responsibly.
ParlaMint-RS_1997-12-29-0.u53	Thank you. I ask Milan Milutinović, President of the Republic, to sign the text of the oath Allow me to congratulate the President of the Republic on your behalf and on my congratulation with the President of the Republic. [[Applause]] I ask the President of the Republic to take his word. [[Applause]]
ParlaMint-RS_1997-12-29-0.u54	Dear Mr President, honourable Members of the People, ladies and gentlemen, acting as President of the Republic, I address you, confident that the time ahead will be marked by the development and progress of Serbia, with sincere conviction that this is an interest, a request and a need for all who live in Serbia and who wish it well. Development is our response to all the consequences of the time behind us and the need for the time to come. It is a comprehensive project of social renewal, based on reforms in the country, businesses, education, health care, information and culture and everything that makes up the framework and content of modern and democratic society. And more than that, it means restoring and affirming extreme values such as work, expertise, honesty, responsibility, solidarity, humanity, patriotism and national dignity. The basis of this development is our potential in agriculture, energy, traffic, tourism, industry and, above all, the educated young generation, the work and skills of our people. Development and reforms only make sense if they are human and just, and they will be so if the achievements in the economy, technology, health care, education, culture can benefit all or, at least, the largest number of citizens. We need prosperity that will mean more jobs, greater employment, more humane conditions of treatment, more effective education, increased care for children and old people and those who need the help of society. In short, a higher standard and a better life for everyone. The project of reconstruction and reform should be based on the standards of the world's most modern flows in science, technology, culture and politics. With lessons from these criteria, we will catch up with the developed world, engage in scientific, cultural, primarily economic integration processes in Europe and the world. In regulating basic social relations, with all respect for our specificities, there is no need for us to invent much, but we should use what has proved good, useful and effective in similar societies. Of course, this process is not possible if we do not take care of two basic conditions. The first life is in peace, freedom and independence and consolidation and affirmation of the Federal Republic of Yugoslavia, as states of equal citizens and republics of Serbia-Montenegro. The second condition is a gathering of all who can, know and want developed, stable and strong Serbia. We are rich in diversity and ethnic, religious, and party, or political. These differences can also be an advantage if everyone, independent of national belongings, religious feelings and party commitment, contributes to development and reform. A minimum of national programme and basic social values is also needed and possible agreement on behalf of a rich, developed and democratic Serbia -- a goal that I believe is wanted by a vast majority of our citizens and political parties. Only in this way can we provide Serbian citizens with greater security, standards and a better life. State authorities, national institutions and political parties must respect that will. Only in this way will we overcome the destruction, present in various forms, through the pressures of those who are not in the will of such Serbia, through crime and illegal behaviour, through various informative and cultural forms of destruction of national consciousness. Only in this way will we be able to discourage those who wish to harm our national interests, freedom and territorial integrity. With the obligation to contribute to this function, within the framework of my constitutional powers, I will do everything for the peaceful and coherent development of Serbia, with the desire to contribute to this Parliament, as the Supreme Legislative Authority and the Government of the People's Unity, with the belief that it will do so to all other relevant national institutions, with the appeal that all political parties, with the sincere belief that this is what the citizens of Serbia expect, I welcome you all and congratulate you on the New Year and the upcoming holidays, with the desire for the years ahead to mark Serbia's progress in the interest of all the people who live in it. Thank you. [[Applause]]
ParlaMint-RS_1997-12-29-0.u55	I suggest we move on to the election of vice presidents of the National Assembly of the Republic of Serbia. You remember the three vice-presidents were elected at the last session, and the representative of the Alliance of Vojvodina Hungarians said they would do so at the session's follow-up. They made a proposal today, so while we're waiting for this committee, I suggest we make this decision to elect the vice president of the assembly. Do you agree? Yeah. ) We move to the 3rd item of the agenda: THE CHOICE OF THE PRESIDENT OF THE PEOPLE'S COMMUNITY OF THE REPUBLIC OF SERBIA Please let us determine the quorum. Since there are 217 MPs present at the session, we have a quorum and we can make all the decisions. I suggest we get back to work. Right now, they're sharing a written proposal to elect the vice president of the National Assembly, and I'm going to read it to you. I would like to inform you that it is in accordance with Article 18. The Rules of Procedure of the National Assembly came only one proposal for a vice president of the National Assembly, which gave rise to conditions for the National Assembly to carry out a procedure for selecting a vice president of the National Assembly at today’s session. You are now presented with a proposal from the Vice-President of the Assembly. As you have seen, the National Assembly Vice President was proposed by the MP Istvan Ispanovich. I remind you that according to Article 19(3) of the Treaty on the Functioning of the European Union, The Rules of Procedure of the National Assembly shall have the right to explain the proposal. Does the rapporteur want to explain the proposal for a candidate for the Vice-President of the National Assembly? He wants to. There is a word from the People's Messenger Joseph Kasa.
ParlaMint-RS_1997-12-29-0.u56	Dear President, honourable MPs, we said at the last session -- if certain conditions were to be met, and that was to start a fundamental conversation with Mr Milosevic, that we would make a proposal to complete the functions of the vice-president of the Republika Srpska Assembly. These talks have been initiated, you have been informed from the press, we have thus assessed that in the Socialist Party of Serbia there are thoughts and efforts to solve the problems of the duchy Hungarians in due time and for these reasons we have proposed Mr. Išpanovich Istvan as vice-president of the National Assembly of the Republic of Serbia. He is a graduate lawyer and I believe that he will perform this function qualityly, not only in the interest of the duchy Hungarians, but in the interest of all the national communities living in the Republic of Serbia and also in the common interest of all citizens of the Republic of Serbia. Thank you very much.
ParlaMint-RS_1997-12-29-0.u57	Thank you. There is a word from MP Tomislav Nikolic.
ParlaMint-RS_1997-12-29-0.u58	Ladies and gentlemen of the People's MPs so that something not to be left unsaid, Mr. Kasa said at the last session that a parliamentary group of the Alliance of Vojvodina Hungarians would propose its candidate for vice president after the talks they intend to hold with the Socialist Party of Serbia and the Serbian Radical Party. I am truly sorry and publicly regret why the Alliance of the Dukes of Hungarians did not turn to the Serbian Radical Party to talk, so that it does not turn out that we are reluctant or that it does not turn out that you did not say that to Mr Kasa, that you know about everything that is good or bad in Serbia, or that it is not only responsible, nor is the Socialist Party of Serbia responsible. I think you should have talked to us. You spoke to one half of the assembly. I don't know how much you believe the agreements you've made, if I were you, I wouldn't have been so easily accepted by all the promises you've received and just to tell you from here, publicly from the pay phone, we're at your disposal to discuss everything you're interested in. You talk to future authority when you talk to us.
ParlaMint-RS_1997-12-29-0.u59	Thank you. He has the word of the People's Messenger Joseph Kasa.
ParlaMint-RS_1997-12-29-0.u60	I really apologize to Mr. Tommy Nikolic, because he's right. We said we'd also talk to the Serbian Radical Party and we intend to continue to. I hope we can have that conversation after these holidays. Thank you very much.
ParlaMint-RS_1997-12-29-0.u61	Thank you. Anybody else answer for a word? No, I don't. I'm finishing the search. Allow me to agree to Article 19, paragraph 5. I set up a list of candidates for the National Assembly, where only one candidate is Istvan Ispanovic. I remind you that according to Article 20. The Rules of Procedure shall, before the election of the Vice-Presidents of the National Assembly, decide whether to vote in secret or in public, by making a public vote known by the MPs to each candidate individually - by raising hands or by calling. Is there any proposal on how to vote for the election of vice-president of the National Assembly? I'd like someone to come out and suggest. You want me to do it for you? Since we've elected other vice presidents by public vote, I suggest we do it now. Who's up for it, raise your hand. - Great majority. Who's against it? Nobody. Who is abstentioned? Nobody. ) I find that this proposal has been unanimously accepted. I would like to vote on the proposal of MP Joseph Kasa to elect Istvan Ispanovich as vice president of the National Assembly. Who's up for it, raise your hand. Everyone. Do you mind? No, there isn't. ) Has anyone abstained from voting? No, I don't. I find that the National Assembly has unanimously decided to elect Vice President Istvan Ispanovich. We move on to the 5th item of the agenda: – THE CHOICE OF THE WORK BODY'S COMMUNITY OF THE REPUBLIC OF SERBIA Since the Committee's proposals are collected, they require a great deal of time for multiplication, about an hour now, I suggest that only the heads of Parliament get it, because everything is agreed, if you agree, so we can continue to do so.
ParlaMint-RS_1997-12-29-0.u62	I've received a proposal from the board and there are things that are not in line with our agreement, so I'm asking you to take another look at it, because it's not just about printing mistakes.
ParlaMint-RS_1997-12-29-0.u63	Is there any more objections? No, there isn't. ) There is no other way than before we start with the first regular session, if we agree in the break, which is a matter of a minute or two, to adopt the proposal then, so please make a correction in the meantime, that in five minutes to 15.00 hours, before the first session we finish this session and adopt the proposal. Do you agree? Yeah. I'm taking a break up to five minutes to 15 hours. I suggest we get back to work. I'd like professional services to determine if we have a quorum. 195 MPs in the O.R. are present. We have a quorum and we can work. I remind you that the Rules of Procedure of the National Assembly are scheduled for the National Assembly to educate committees. The National Assembly has 23 permanent committees, and the number of members of those committees has been established by the Rules of Procedure. The parliamentary groups shall propose members of the committee to a proportion of the number of MPs they have in the National Assembly (Art. 27, 45, 46 and 48. Rules of Procedure. In accordance with the provisions of the Rules of Procedure, you have been given a proposal for a list of members of the Committee, which is drawn up on the basis of individual proposals from parliamentary groups, which are educated in accordance with the Rules of Procedure of the National Assembly. I am opening a review of the proposal for a list of committee members and a proposal for a list of members of the Commission to apply the Law on specific conditions for the transport of immovable property. Does anyone want a word? He has the word Vice President Ispanovich.
ParlaMint-RS_1997-12-29-0.u65	Dear President, honourable Members of the People, I would only ask that you honor one correction - page 20. - The Agriculture Committee, there was a mistake. On behalf of the Parliamentary Club of the Alliance of the Dukes of Hungarians, instead of Joseph Kasa, we propose Michael Secei. Thank you very much.
ParlaMint-RS_1997-12-29-0.u66	Thank you. Anybody else answer for a word? He's not answering. I'm finishing the search. Before we move to decision-making, I remind you that, according to Article 28. The Rules of Procedure, on the proposed list for the selection of board members, shall decide in general, by public vote, and that the committees have been elected if the majority of the members present have voted in favour of the list. We're moving on to a decision. I am voting on a proposal for a list for the selection of members of the Committee of the National Assembly of the Republic of Serbia and the Commission for the application of the Law on Specific Conditions of Transport of immovableity. Who's up for this proposal? Everyone. Is anyone against it? Nobody. Is someone holding back? No, I don't. ) I find that the National Assembly has unanimously chosen the committees of the National Assembly and the Commission for the application of the Law on Special Conditions of Transport of immovableity. The committees will elect presidents at their special sessions during the constitution, on which the heads of the parliamentary groups agreed. I ask you to keep that in mind, and when we have the first chance, the committees will do so, if they can during the day. We move to the fourth item of the agenda: THE NAME OF THE SECRETARY OF THE NATIONAL COMMUNITY, Dear People's MPs, remind you that at the First Session, held on 3 December 1997, we appointed the Secretary of the National Assembly. From the remaining affairs of this session, we should appoint a deputy secretary of the National Assembly. I would like to inform you that I am in accordance with Article 24. The Rules of Procedure of the National Assembly received one proposal from the deputy secretary of the National Assembly. Your proposal was made during the session. As you have seen, Nebojsa Rodic, the deputy secretary of the National Assembly, who was proposed by 29 MPs, was proposed to his signatures. I would like to remind you that according to Article 12(3) of the Treaty on the Functioning of the European Union, The Rules of Procedure of the National Assembly, the rapporteur may explain the proposal. Does the rapporteur want to explain the candidate's proposal as deputy secretary of the National Assembly? He doesn't want to. ) Since we have received a proposal from the deputy secretary of the National Assembly, I am opening a search on this proposal. Do any of the MPs want a word? He doesn't want to. Since no one's answering for a word, I'm closing the search. Let me set up a list of candidates for the deputy secretary of the National Assembly, where only one candidate is, and that is Nebojsa Rodic. I remind you that, in accordance with Article 13. The Rules of Procedure, before joining the appointment of the Deputy Secretary of the National Assembly, the National Assembly should decide whether to vote in secret or in public. (Glass from the O.R.: Publicly. ) I ask whoever suggests that he go out for a pay phone and suggest that he enter the stenogram. Since you're having a hard time, let me suggest. I suggest that the vote be public. Who's up for it? Most of it. Who's against it? One voice. Is anyone restrained? No, it's not. ) Since the National Assembly has decided to appoint the deputy secretary of the National Assembly by a public vote, I would like to put forward a proposal to appoint Nebojsa Rodic as deputy secretary of the National Assembly. Who's in? (133) Who's against it? (68) Who is abstentioned? Three. I find that the National Assembly has named most of the votes the deputy secretary of the National Assembly of the Republic of Serbia. Thank you. With this, we exhausted the agenda of the constitutional session of the National Assembly. (Tomislav Nikolic: Mr. President, you are using wicked things. Why? (Tomislav Nikolic: The system is not running automatically. We voted against us, he's 76. I don't trust this count. ) Please, 68 is numbered. (Tomislav Nikolic: Why doesn't the system work? Not that it doesn't work, but not all MPs got cards. (Tomislav Nikolic: Replace Secretary of Skuština. ) I've received notice that not everyone has received, please. But 133 MPs voted yes, Mr. Nikolic. (Tomislav Nikolic: When you can't count mine, how can I believe this? It doesn't make sense, President. )
ParlaMint-RS_1997-12-29-0.u67	Please, there's more.
ParlaMint-RS_1997-12-29-0.u68	Mr. Todorovic, would you be so kind as to sit down, when you have the presidency, you will have the right. Please, here, we're assigning the secretary to see what's wrong with the cards, so all MPs get the cards. (Dragan Todorovic: Recounting.) Don't, Mr. Todorovic, it doesn't change things. We'll work with electronic cards as soon as all MPs get them. (Tomislav Nikolic: Why aren't temporary cards issued? They can also be temporarily betrayed. (Tomislav Nikolic: But they do not give them service, they are commanded not to give. ) Everyone is ordered to get their cards, please. How many MPs don't have a card, can he raise his hand? It's a big number. ) Please, you have seen that a large number of MPs do not have a card. I have now been informed by the secretary that it is scheduled to meet with the application and use of the cards. Two parliamentary groups have not responded, have not come to the Assembly, it is a group of SPS MPs and the SPS parliamentary group. Please, MPs can come and can't come, that's their right. It is ours to organise it and it was ours to allow the MPs to receive the cards. (Tomislav Nikolic: Is there any other reason, Mr. President? No, Mr. Nikolic. (Tomislav Nikolic: Isn't it that you can't see how to vote? No, Mr. Nikolic, it's much easier with the cards. When everyone gets it, we'll give you a card. (Tomislav Nikolic: Here, I don't need your card. It's not mine, it's official. (Tomislav Nikolic: It is yours, it is yours, it is yours. And after the election, the MPs don't have the cards and you convince me it's the right thing to do. Mr. Nikolic, you heard that the secretary informed me that they were invited, and they did not come. The session's over. (The session is closed at 3:20 p.m. )
ParlaMint-RS_1997-12-29-0.u69	THE REPUBLIC OF SERBIA The National Assembly of the Stenografical Note first session of the Second Regular Session on 29 December 1997 (The session began at 15.25 p.m. The chairman is Dragan Tomic, president of the National Assembly of the Republic of Serbia. )
ParlaMint-RS_1997-12-29-0.u70	We move to the work of the First Session of the Second Regular Session of the National Assembly of the Republic of Serbia in 1997, called for December 29th. I am opening the First Session of the Second Regular Session of the National Assembly of the Republic of Serbia in 1997. According to official records, 195 MPs attend today's session. Since the quorum for the work of the National Assembly cannot be determined by the application of the electronic voting system because all MPs are not trained to use it, the quorum will be determined by counting the MPs, so I ask the Service to count the MPs. There are 233 MPs in the hall. ( Dragoljub Stamenkovic: Injury of the Rules of Procedure. Let me tell you, how do you know what this is about, if you don't let me. Here you go.
ParlaMint-RS_1997-12-29-0.u71	Mr. President, I have my doubts about the number of MPs present here, and I demand that the quorum be determined either by the denomination of the Members present or by the application of the electronic system available here. The fact that someone wasn't in training, that there were 20 more times, they wouldn't learn. And I can't believe those who counted the votes in Kosovo, those who stole from us. Either we determine how the Rules of Procedure has been established or by public appeal. That's the violation of the Rules of Procedure, and that's how we apply the system.
ParlaMint-RS_1997-12-29-0.u72	Mr. Stamenkovic, 233 MPs. What are you arguing about? Are you saying there's more or less? Mr. Stamenkovic, you heard the reasons, I have no intention of repeating them. So we can't do anything else. I find that the count of MPs has established that 233 MPs are present in the hall and that there is therefore a quorum for the work of the Assembly. I would like to inform the National Assembly that they have been invited to attend this session by the President, Deputy Prime Minister, Minister and Secretary of the Government of the Republic of Serbia, as well as the Secretary of the Republic of the Legislative Secretariat. I would like to inform you that the MP of Life Cvetkovic proposed that the National Assembly decide to extend the work of the First Session of the Second Regular Meeting of the National Assembly of the Republic of Serbia to 24.00 hours, or until the end of the Second Regular Session. That proposal was sent to you before the start of the session. Does anyone want a word?
