ParlaMint-NL_2022-03-15-tweedekamer-35.u1	I give the floor to Mr Koerhuis. He will speak on behalf of the VVD.
ParlaMint-NL_2022-03-15-tweedekamer-35.u2	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that regional aviation is important for the accessibility, location and economy of the whole of the Netherlands;]] [[noting that North Netherlands, Groningen Airport calls Eelde and dozens of companies to ensure the continuity of Groningen Airport Eelde;]] [[noting that Groningen Airport Eelde plays an important role in the sustainability of aviation and the transport of bodies;]] [[calls on the Government to examine, together with the North Netherlands, how Groningen Airport Eelde can be made economically profitable and ensure continuity and what role Schiphol can play in this process, and to inform the Regional Aviation Committee,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that unfair competition is created by the need for European airports and airlines to comply with European climate rules;]] [[noting that the main competition from European airports and airlines is Istanbul Airport and Turkish Airlines;]] [[calls on the Government to examine how Istanbul Airport and Turkish Airlines can be kept to European climate rules and inform the Chamber of the Sustainable Aviation Committee debate,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that aircraft with high noise can be dealt with by charging higher port charges and having low noise aircraft paying lower port charges;]] [[noting that there is still room here to tackle air pollution;]] [[invites the government to have Schiphol, Rotterdam-Den Haag Airport, Eindhoven Airport, Maastricht Aachen Airport and Groningen Airport Eelde investigate the amount of space left in port fees to tackle air pollution, and inform the Chamber about this for the Sustainable Aviation Committee debate,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Koerhuis, Van der Molen and Graus.]] [[She's getting No. kst-31936-915]] [[This motion has been proposed by the Member of the House of Lords.]] [[She's getting No. kst-31936-916]] [[This motion has been proposed by the Member of the House of Lords.]] [[She's getting No. kst-31936-917]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u3	Thank you, Mr President. In the debate, the Minister told us that growth or shrinkage in aviation is not a policy choice, but now he states in his letter that the Aviation Note is indeed based on deserved growth. As far as he is concerned, there is definitely no need for adjustment. So we have a few motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that an Aviation Paper with growth due to the nitrogen crisis, the climate crisis, the biodiversity crisis and the corona crisis has already become largely obsolete;]] [[calls on the Government to draw up a revised Aviation Note, drawing up the policy needed for a shrinkage and the broad welfare effects of a shrinkage,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there seems to be an agreement whereby the Schiphol Group takes an (majority) interest in Maastricht Aachen Airport (MAA);]] [[calls on the Government not to allow Schiphol Group to take irreversible steps with regard to MAA before the State-General and the Provincial States of Limburg have given their views,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the polluter should pay;]] [[Considering that due to the large amount of free allowances in 2020, the aviation sector did not pay for the pollution caused but even had 273 million in free allowances;]] [[points out that it is unacceptable to so heavily subsidise highly polluting sectors in a climate crisis;]] [[calls on the Government to ensure that the excess of issued rights is withheld in the coming year;]] [[calls on the Government to put an end to free allowances as soon as possible,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the coalition agreement states that all sectors must make their proportionate contribution to the reduction of nitrogen;]] [[calls on the Cabinet to set a minimum proportional and enforceable nitrogen reduction target for the Dutch aviation sector as for other sectors,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan and Mr Kröger.]] [[She's getting No. kst-31936-918]] [[This motion was tabled by Mr Van Raan and Mr Kröger.]] [[She's getting No. kst-31936-919]] [[This motion has been proposed by Mr Van Raan.]] [[She's getting No. kst-31936-920]] [[This motion was tabled by Mr Van Raan and Mr Kröger.]] [[She's getting No. kst-31936-921]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u4	And then the last one, Mr. Chairman, I think. Yes. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister informed Schiphol of the reference situation on which the application for authorisation will be examined;]] [[noting that the reference situation does not indicate the current application for authorisation;]] [[calls on the Government to share with the States General the reference situation communicated to Schiphol (including the fleet composition to be involved),]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan and Mr Kröger.]] [[She's getting No. kst-31936-922]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u5	Thank you, Mr President.
ParlaMint-NL_2022-03-15-tweedekamer-35.u6	Thank you. Those are eight motions after two speakers, so that promises something for this two-minute debate. I give the floor to Mrs Kröger, who will speak on behalf of GroenLinks.
ParlaMint-NL_2022-03-15-tweedekamer-35.u7	Mr. Chairman. From my hand two motions and one remark. That comment is about the Aviation Note. During the debate there was some confusion whether it was a concept or a final piece. The Minister has sent another letter stating that that note is final, but that note is, of course, written at a completely different time, at a time for corona and at a time for Europe's clear climate policy on aviation. So I would really like to ask the Minister if he would like to revise the Aviation Note and share it with the Chamber. That is why we are also under the motion of the Animal Party with that appeal, but I would also like to hear a response from the Minister in this two-minute debate. Then there are the two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the nature permit of Schiphol is of great social importance;]] [[noting that the Commission has issued a number of opinions for which the Minister for Nature and Nitrogen and the Minister for Infrastructure and Water State are responsible, in particular with regard to the method used to determine emission allowances;]] [[noting that Schiphol has been informed by the Minister for Nature and Nitrogen and the Minister for Infrastructure and Water State about the baselines for the reference date and fleet composition to be used for the determination of emission allowances;]] [[calls on the Government to share these principles and the chosen method of determining allowances by association with the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger and Mr Van Raan.]] [[She's getting No. kst-31936-923]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u8	The next motion is about the need for a smaller Schiphol area to build in the Randstad. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in the Randstad a large number of interests are in competition with each other on a spatial basis;]] [[noting that Schiphol has a large spatial impact on the use of space, including through noise and safety contours;]] [[Whereas with a limited but targeted shrinkage of Schiphol, focusing on the times and jobs that cause the most nuisance, much room can be opened up;]] [[calls on the government to examine how many more homes can be built in the region if Schiphol is shrinking to 400,000, 350,000 and 300,000 flight movements and if night flights are banned,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger.]] [[She's getting No. kst-31936-924]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u9	Thank you, Mr President. The situation around Lelystad Airport has not improved, because the recent decision by Minister Van der Wal-Zeggelink not to issue a nature permit because of incorrect calculations about nitrogen emissions does not make the situation any easier. I ask the Minister if he can tell the Chamber how much delay this decision will cause. Is it true that if the calculations had been made correctly, the nitrogen drop would have reached the border where a permit had to be applied for? Mr. Chairman. The Minister stops the boat at the request of the CDA and other parties to talk to Groningen Airport Eelde. It's gonna be a bit of a chicken-or-egg discussion. First a strategy and then a conversation, says the Minister, while the airport already has a strategy, but first asks for a discussion about the options for its continuity within the overall aviation in the Netherlands. That is why we are tabling a motion on this issue, together with the VVD and the PVV. Finally, Mr President. On behalf of the CDA, during the committee debate, I advocated involving the environment in the future plans for Schiphol and other airports in the Netherlands. This plays as a priority in the integral balance around Schiphol. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas an overall assessment of Schiphol Airport has been initiated, which can provide certainty and perspective for the hub function of Schiphol Airport, explicitly in relation to the airport's surroundings;]] [[calls on the Government to involve the Social Council of Schiphol and to consult them on this matter,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Molen.]] [[She's getting No. kst-31936-925]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u10	Yeah, I have a quick question. I was told that if the calculation had been properly carried out around Lelystad, the value would have remained below the limit value, which would have meant that the PAS report should have been approved. Maybe I heard that wrong. But I think the Minister has already written in the letter that, if the calculation had been properly carried out, the value would be four or six times as high as the limit value. So I think that question has already been answered, but I might be wrong.
ParlaMint-NL_2022-03-15-tweedekamer-35.u11	Okay. I might have missed that. I'm not ruling that out with the amount of pieces we've received. This is then an opportunity for the Minister to repeat that reply.
