ParlaMint-NL_2022-04-06-tweedekamer-9.u1	We are going through the debate on the Modernisation of Electronic Administrative Traffic Act.
ParlaMint-NL_2022-04-06-tweedekamer-9.u2	In the first term of the government, I am happy to give the floor to the Minister. The floor is up to her.
ParlaMint-NL_2022-04-06-tweedekamer-9.u3	Thank you, Mr President. I would like to thank Members for their input. It is indeed a good thing that we can talk about this bill here, because with this bill we are actually working to increase the guarantees for the Netherlands, for our residents, in terms of digital public services under the General Administrative Law. Because, of course, the General Administrative Law is always the basis for all other regulations. All other administrative bodies must therefore follow the rules of the General Administrative Law if they want to take a decision and will also have to use them as a starting point in working in the digital environment. Several members have indicated that this has different sides. As Mrs Van Weerdenburg pointed out, digitalisation can indeed provide better services on the one hand, because you can do things faster. On the other hand, it is also important that you have guarantees for both companies and individuals to ensure that if you use them and it doesn't work well digitally, you can say to the government in case of such a disturbance: it didn't work, so I can file it at a later date. That is also indicated here. So these are important points to grasp, because ultimately it also provides legal protection for individuals. It ensures that people can fall back on something and that there is a foundation on which to act with the government both through paper and digitally well designed. This is indeed about the balance between practicability and practicality, as Mrs Rajkowski pointed out. This is also about customization and trust in the government and a paper trail that should always be available. You should not undermine the possibilities for customisation and the importance of user-friendliness of the digital road. Mr. Chairman. In this context, several questions have been asked about how this law should be seen in relation to the fact that every individual, every person, must be able to make use of the contact with the government, and that at the moment when one way cannot be done, the other way must always be available. If you look further back, are we talking about more guarantees or other guarantees here? How do we see that, for example, in relation to the government's actions on a number of other issues, where you can all say that we need to learn from them and take new steps in them? Several members asked: has there been sufficient response to the concerns about creating these additional safeguards in different areas? Or is there still room for improvement in what is written here? It is good to go through a number of points: on the one hand, the opinion of the Council of State and, on the other hand, the broader opinion of the Council of State on the operation of the government as a digital partner. I start by saying that this proposal regulates the paperwork for individuals, for people, just stays open forever. That's an important guarantee. This bill also stipulates, for example, that if something goes wrong, for example with the processing in MijnGovernment.nl, the burden of proof no longer lies with the citizens, with the people who use it, but that the burden of proof will lie with the government. That is also very important in this human-oriented approach. This concerns the burden of proof as to whether or not something went well. This concerns, for example, whether or not a message has been received. This is one of the examples that shows that there has actually been a difference in perspective compared to the classic Awb, which is not the issue. Mrs Leijten asked whether this bill complied with the opinion of the Council of State on digitalisation and administrative justice legislation. I think it is important to start with this, because that is the basic starting point. Mrs Leijten is concerned about whether this has been properly processed. That opinion contains six points. Let me summarize this briefly. The Council of State sometimes makes longer sentences and I do not want to formulate very classical texts. The first is to ensure a human-oriented approach. This bill ensures that the paperwork and the digital road continue to exist, so that people also keep the digital road. There must also be appropriate support for this. We now have those digital information points for that. But there will be no duty. I shall deal with Mrs Leijten's amendment on this point later. However, as Mrs Van Weerdenburg has already pointed out, formal legislation can make sure that companies are exempt from digital work only. Only then will this Chamber always be there itself. We have said in this bill that only by law in a formal sense, i.e. by law passing through the Second and First Chambers, can you opt for a digital exception for companies. This is an amendment to the opinion of the Council of State. The second point in the opinion of the Council of State is that, at the earliest possible stage, an integral digital technology and the method of processing data should be included. At that point you can say that our old provisions, which are now in the General Administrative Law Act, no longer meet the present time and that there is no longer a suitable solution for everyone. That's why we're making this bill right now. We have also added some extra safeguards because if you are now sending messages to the government, a number of things are also just extra arranged, for example that you get the right to use an electronic message as well. It is conceivable that a number of governments say: no, you have to take a letter and send it by registered mail; if you do not, you have a problem. I also know a lot of people who don't have stamps at home and have to think about where you get them. So that's one side, but on the other side, that paperwork has to be left and the mandatory acknowledgement of receipt that's in there right now. What I also think is an important element in this bill is that in the current situation you will receive a very comprehensive form from the government. Then you have to fill out everything, but there are always a few questions between which you think: isn't that what this is about? This bill also stipulates that the government is not allowed to do so anymore, because if you send it without having filled in boxes 1, 2 and 3, which you think is "not about at all," then you cannot send the form. With this bill you also get a right to do something with it and the government should not ask more than is necessary. Then the right to copy the data entered. How often does it happen that you send it to the government and then think afterwards: I should have taken a print screen or a picture of what you submitted, because you never get it back from the government? Then you get a reaction four months later and then you think to yourself: what exactly did I do? That's taken care of here, too. It is also provided for in the case of a failure that the government cannot say: you have not been on time. No, then there is also a responsibility for the government to just shape that well and say: yes, there was a malfunction at the time. The mandatory notification is also there. I will come back to that a little more in detail later. These are all matters that are extra regulated in relation to today, which are really human-oriented and do something digitally on the front, including the burden of proof. Now it's true that if it doesn't go well with a message box like that, you're the one who has to say to the government: it didn't go well. It's very difficult, because what do you have to steer to show that it didn't work out, because of a malfunction or otherwise? But that is now just going to be in the government on the basis of Article 2.25. If you send a message and if you process a message, you will receive it in data processing. I think that is very important, and we are taking steps forward in relation to the current situation. Mr. Chairman. Point four is: be transparent and verifiable in the automated implementation of laws and regulations. That is a point that this legislative proposal is not about, because this is not about automated decision-making. This is about what rights citizens have when it comes to using electronic transmission and what obligations the government has to comply with it. I have just mentioned a number of things for that. There is also a fifth point: ensure a good balance between automated and non-automated implementation of legislation. Of this we state very clearly that there should also be appropriate support when you fail to come out. That is clearly stated here. The second direction is, therefore, I am also pleased with the letter of amendment....... that we now also have structural money to set up these digital information points properly and to do so for a long time. Pay sufficient attention at the front to the conditions and rules of play for the support and execution of government ICT and data usage by private parties. As functional requirements for the communication techniques to be used are clear, it will also be easy for private system providers to know what they have to comply with. That also goes for one of the things Mrs Rajkowski mentioned and Mrs Van Weerdenburg mentioned, namely that you want to do the same and that you recognise it when you use the system, because you do it in other systems as well. Very important is that if you want to go a digital way with companies, that can only be done by laws in a formal sense. This is an important change in relation to the Council of State. [[Sentence could not be parsed: Wij hadden er eerst nog in staan dat het ook bij algemene maatregel van bestuur kan.]] Mrs Leijten also knows that this does not have to go through the Chamber. That is published somewhere and afterwards everyone thinks: how is this possible? I think it is right that the Council of State has addressed us and said that this can only be done by law in a formal sense. You have to have a good debate about it to do that. We had put that notification in as a kind of voluntary, but the Council of State said: that cannot be done; you must send an acknowledgement of receipt. I fully support that, and it is now mandatory in this bill. This also applies to the mandatory acknowledgement of receipt. There is also a broad approach, in the sense that the burden of proof does not lie with the person using the system of data processing by the government. So it's not like you have to do that, but the government has to say afterwards: yes, this didn't go well or this did go well; here's the proof of that. The conclusion to me is, at least, that we can say that the Council of State had some very valid points. On these points, we have too quickly aligned a few things in the original proposal. You can say that we have now incorporated it into the proposal. I believe that it is much clearer in relation to the current provisions what the safeguards are and also what the rights of people who use digital systems in their communication with the government are. The conclusion to me on this point is also the answer to Mrs Dekker's question, but Mrs Leijten made the request: I would not go back to the Council of State in this case, because I think that we simply have an improvement on the current system on a number of points.
ParlaMint-NL_2022-04-06-tweedekamer-9.u4	The Minister is, of course, defending the legislative proposal that has been made and is now in the final stage, namely parliamentary approval. Four years ago, I believe on 15 May 2018, the Council of State advised not to send this bill to the House of Representatives and formulated six points that pose a problem, as well as three comments and recommendations. What is the problem, then, with the adjustments that have been made and the defence of the minister here, of leaving it with the Council of State? After all, the Chamber and the Government have just received a report from the Temporary Committee on Implementing Organisations, which states that legislation needs to be more careful. We are jointly the legislative power. Then what is against embracing this advice now and saying: as a precaution, we are doing so? If the Minister really succeeds with flying colors, isn't that what we want? At the moment when the Council of State says 'we are actually still seeing objections', we can still improve things in the process.
ParlaMint-NL_2022-04-06-tweedekamer-9.u5	Following the opinion of the Council of State, of course, there has also been a letter of amendment, as I have just explained. A number of things the Council of State indicated, we've better dealt with. I mention the acknowledgement of receipt, the obligation to notify and two other cases that were still in it. So we've followed that up. What I suggest more broadly on the basis of the opinion of the Council of State of June 2021 is that this proposal contains precisely that human-oriented approach, as well as the fact that you create more safeguards and that you place more responsibility on the government to take care of matters properly for those who use the system. Also on the basis of history, my conclusion, as a successor to my predecessor, is that this bill is simply a good step forward. That letter of amendment has been an important point for me. Apart from that, I say to Mrs Leijten: I never think that the Chamber is the last step in the process; it is actually the most important step in the process. In the end, that is the co-legislator who is looking at whether or not a proposal is acceptable and whether we are all working it out properly. So I will never call it the last step, I say to Mrs Leijten. It's a very important step.
ParlaMint-NL_2022-04-06-tweedekamer-9.u6	The Minister knows what I mean. Law-preparation has been going on for a long time. You're on that train, and it's gonna have to be approved for a while. That's how it's actually seen sometimes. I don't hear very well from the Minister what's against it. It is a serious request from the SP Group that it should really go to the Council of State again. That may be short, but it was such a fundamental rejection. It's about the General Administrative Law Act. We know what went wrong. We are not in a good mood and this is an important change. It's also important that we get it right, so we don't want to miss anything. What's against going to the Council of State?
ParlaMint-NL_2022-04-06-tweedekamer-9.u7	That's two things. First of all, the Council of State can give various opinions to the government: it is good, it is good with comments, or it is good after you have changed it. The last thing the Council of State can say is that you really shouldn't do this. The Council of State has indicated that the cabinet needs to change a number of things to ensure that this can be properly implemented. We have made a letter of amendment in which we have incorporated a number of things well. You ask the Council of State for advice when you still have doubts as to whether it has been properly designed. I am convinced that we are doing well with this bill. The second important argument is that there are also a number of additional issues to be dealt with for those who use the system. There will be safeguards that are not available at the moment. On the contrary, I would choose to go ahead with this bill, because we have these safeguards and legal protection is so much stronger. That is not the case at the moment on the basis of the General Administrative Law Act. I would like to go on, because I want people to be able to say to a government: "I was allowed to ask for a delay because there was a disturbance and it is up to the government to prove that it was not received properly. Fortunately, I finally get the acknowledgement of receipt that says something substantive rather than just a vague text with which I can't get any further." That's what we're talking about here.
ParlaMint-NL_2022-04-06-tweedekamer-9.u8	Good. The Minister has no doubt; the Minister sees nothing but light. It's all still to be carried out and arranged. We know that things are quite different from what we intend to do with a law. If the Minister learns that there is doubt in the Chamber, could that still be a consideration to give the co-legislator the assurance that it is right? We are on the right track and we are not making mistakes, but we have talked about the Van Dam Committee talking about too harsh laws. The Bosman Committee said that the co-legislative task was not taken seriously. Those are harsh judgments. If there is any doubt in the Chamber, then why would the Minister not agree with that argument to submit it again as a co-legislator?
ParlaMint-NL_2022-04-06-tweedekamer-9.u9	I would like to use this debate to take Mrs Leijten with me in my belief that this will enable us to take good steps forward. Of course, the Chamber can always call me by majority to ensure that I go to the Council of State again, but I do not see the added value of that at the moment. Mrs Leijten knows that I too will do so when I see the added value of this and feel that we can do it better on a number of points. At the moment, people are deprived of certain safeguards that we can regulate with this bill. I would prefer to continue because it creates additional rights and guarantees for those who do not have them now.
ParlaMint-NL_2022-04-06-tweedekamer-9.u10	Rounding up.
ParlaMint-NL_2022-04-06-tweedekamer-9.u11	I regret that a motion must therefore be tabled and that the co-legislator is not given the assurance that this task will be properly carried out. This is a very important change, and I absolutely agree with the Minister. There must be guarantees, but there are also serious concerns. I have heard it from all the parties, even though there are only four of them here in this debate. Of course, the Minister is defending her bill, but I regret that it has to come to a motion and to opposition-coalition thing whether we can take our task seriously here. I do not think that is a good thing.
