ParlaMint-NL_2022-03-23-tweedekamer-7.u1	I am happy to give the floor to the Minister of Finance.
ParlaMint-NL_2022-03-23-tweedekamer-7.u2	Thank you very much, Madam President. Many thanks also to the members of this Chamber for the questions and comments. I've been asked a few short questions. I would like to say that on behalf of other ministers I will also take up a number of issues, as good and as bad as that goes. I will try to answer about the rentals, insulation, public transport and the category others. I would like to say something general about the purchasing power regime, the budget right, the general budget and the support to businesses, including on behalf of the Minister for Economic Affairs. Those were a bit of the cubes, as already mentioned by the Minister for Social Affairs. It's the first time I've spoken in this term. That is why, repeating the words of the Minister of Social Affairs, I would like to say how the terrible war in Ukraine is primarily a tragedy for the Ukrainians themselves and the millions of people internally displaced in their country, who live in fear and are traumatized, but also for those who have been able to flee the country, in search of a safe place. The war has a clear impact on the Dutch economy and purchasing power. That's a derivative of that. It has often been said: we too will pay a price for the aggression from Russia in Ukraine. We have seen this, among other things, in the rising inflation rates, but not just that. These are caused, in particular, by rising energy prices and, as we increasingly see, by staggering supply and interruptions in the production chains due to the robust sanction packages put in place by the European Union and NATO's actions. And rightly so. The sanctions imposed on Russia and Belarus are intended to stop Putin, but they touch us. Many Dutch people understand that this is a price that we must and want to pay, for our freedom, security and democracy. There is still a lot of uncertainty about the consequences. Then I'm talking about long-term consequences. The cabinet takes into account several scenarios. We have seen in recent credit transfers and CPB estimates that a negative scenario can cause a short-term recession. For example, in a negative scenario of De Nederlandsche Bank, inflation rises to 9.5%. It's possible. This morning, the CPB, the Central Planning Bureau, published a new study on the economic consequences for the Netherlands of the current trade sanctions against Russia and also of a possible closure of the gas and oil supply from Russia to Europe. Through value chains, the Netherlands is more connected to imports of Russian gas than other European countries. A lot's insecure. So it is quite possible that we may end up in very severe economic weather. This Chamber has been very well informed about this. The rising energy prices are hitting many households very hard in the wallet, especially those with a small income. It's been appointed many times. I therefore think it is very good that Mrs van der Plas, for example, refers to the mental and psychological stress and the health consequences that people may experience from the pure fear of whether they can still survive and whether the blame they may already have is going to increase. I think it is important that attention should be paid to this. I also hope that you will have noticed this from the answer given by the Minister for Social Affairs, Mr President, that the government's full attention has been focused on the options for rapid action. This has resulted in the purchasing power package. When we discussed the Start note for the first time, that was on the eve of the raid in Ukraine. Mr Omtzig referred to this recently. I believe that no one, except the American intelligence services who spoke publicly, could have feared that the raid would take place and that the war would be waged in such a way, with such disruption and displacement of the Ukrainians themselves. It is now an exceptional situation. The uncertainty for households in the Netherlands is high. The cabinet has chosen, as explained in detail, to compile, exceptionally, a purchasing power package for the current year. We do this because households get into acute problems or may get into trouble because of the higher energy bill. As Minister for Finance, of course, I say that this package is covered, so that the account is not transferred to future generations. But it is also important that this is my expensive and perhaps sober duty to point out that it is precisely in these times, when we thought we were coming out of the corona crisis, that the treasury should again be taken care of and that budgetary discipline should be respected. We're all losing prosperity. Unfortunately, a lot of people are getting worse. I hope for the time being. We cannot dampen the consequences for everyone without at the expense of future generations. Let me make a comment on the budgetary rules. I'm gonna finish this block, Madam President. Mr Stoffer asked whether the cabinet intended to respect the budgetary rules in the spring decision-making process. Mr Nijboer also rightly pointed out the importance of a careful budgetary policy. I very much agree with Mr Nijboer and Mr Stoffer that budgetary policy should benefit from a clear process and clear rules. As a cabinet, we have therefore included these rules in the coalition agreement and in the Start note. That is why I have always stressed that this was before the invasion of Ukraine in order to maintain a single decision-making moment and to maintain the financial frameworks, also because we have frequently, forcefully but rightly, deviated from those rules in the corona period. You can assume that the rules and frameworks are at the heart of the forthcoming negotiations in the cabinet after that, of course, with you on the budget. With Mr Stoffer, I am pleased that the cabinet ensures that the bill is not passed on to future generations. But I must also acknowledge that in this exceptional case, where higher gas benefits through the higher gas price were accompanied by major purchasing power problems, the cabinet once considered this aspect to be more important than the letter of the budgetary rules.
ParlaMint-NL_2022-03-23-tweedekamer-7.u3	Two months ago, this cabinet said that the government agreement also states that the purchasing power picture must be proportionate and positive for everyone. Now, two months later, everyone turns out to be heavy through the ice and we see a very negative purchasing power picture. This minister says everyone's gonna feel it, everybody's gonna feel it, that's the honest story. But who isn't getting poorer? Who benefits from high gas prices? That's this minister. It covers this purchasing power package with windfall gains in gas revenues. In other words, this minister takes advantage of the high gas price and thus retains money. She's actually giving that money back to the people as compensation for that high bill. A cigar from your own box. I told you on my own term.
ParlaMint-NL_2022-03-23-tweedekamer-7.u4	Thank you.
ParlaMint-NL_2022-03-23-tweedekamer-7.u5	So this minister shouldn't pretend to be making a gesture. She just gives the population what she brings in extra because of the high gas price. And then I don't even talk about VAT, because the VAT on petrol and on gas also provides windfalls and extra revenue. So you're just making $10 billion in extra tax revenue, and you're giving back $6 billion. That's the honest story.
ParlaMint-NL_2022-03-23-tweedekamer-7.u6	Thank you. The Minister.
ParlaMint-NL_2022-03-23-tweedekamer-7.u7	This minister, personally, does not deserve anything extra. Just for the record. Perhaps this falls under the category of "personal fact." The state budget, the state treasury, has unhappily, I would say, received a lot of extra revenue from this war. From this point of view, from the point of view of urgency, from the social call to act quickly, to which the Court has rightly emphasized, and at the same time from the interest of making the decision covering and not letting it go into the balance, we have chosen to cover it through the higher gas price. It is, of course, the raising of revenue that we actually have to book in. What I find more interesting, and what I do not get from Mr Van Dijck's remark, is whether he is satisfied with the decision or whether he would have preferred an uncovered purchasing power package. I don't know what the suggestion is. It's correct: the State didn't plan it. But, as you also know, we always look at the windfalls and the setbacks in the spring decision-making process. We'll draw up the bill with each other and see what we can do. Only now we have brought that moment forward.
ParlaMint-NL_2022-03-23-tweedekamer-7.u8	What matters to me is that there is talk of the former Minister of SoZaWe have said this twenty times about cover, cover, cover, cover. But the cover is the windfall, the cover is the cigar out of your own box, the cover is what people at home pay more at the gas price, at the VAT at the pump and you name it. That's your cover. If I ask the Minister what is the cover for the 75 billion extra this cabinet spends in this cabinet period and what is the cover for the 60 billion for climate and nitrogen, then she has no cover for that either. The excuse to hide behind cover, while the situation with many families is dire because they can no longer pay their bills, I find it so weak that I have almost no words for it. So don't touch me with cover. People just need to be compensated. They have no fault for the fact that the gas price is so high. They're gonna turn in a hell of a lot now, every month. There's gonna be queues at the Food Bank. And this minister is talking about cover.
ParlaMint-NL_2022-03-23-tweedekamer-7.u9	Of course, I started the war in Ukraine and its consequences. The Minister for Social Affairs has explained in detail what choices we have made and how we have tried to mitigate the consequences for those with a minimum of living, the minimum, but also for low and middle incomes. I don't think you heard anyone from the cabinet say that this package deserves a beauty prize. Far from it. We have said: speed and as focused as possible where it can be for those who need it most, and also for other population groups, including low and middle incomes. Is it perfect? No. You won't hear anyone say that. But it is under the circumstances that we felt it was possible. Because you also know that we normally do not take decisions of this kind in an ongoing financial year. We may have got used to it by corona, but this was just a moment to go back to the regular budgetary process and budgetary discipline. "A cigar from its own box" is the words of Mr Van Dijck. I was pleased to hear that Mr Alkaya of the Socialist Party considered part of the package acceptable. It may not be enough, but he indicated that a difficult decision had been taken and that it was about the objective we have with each other: to mitigate the consequences for the Dutch population.
ParlaMint-NL_2022-03-23-tweedekamer-7.u10	In my view, the Minister is simply not aware that this is an emergency. This temporary intervention must be carried out in order to prevent people from having sleepless nights, losing their jobs, the economy from going into a deep recession and inflation from increasing. This is an intervention you need to do as a minister. Then you can hide behind all kinds of procedures and behind cover and you name it, but the people at home cannot pay their energy bill, which instead of €150 now is €300. Those people have sleepless nights, they're fighting at home, they can't go to work because the gas is too expensive. As Minister of Finance, therefore, I have waited with this interruption for the Minister of Finance to intervene now and say: listen, it is not going to happen to me that we are going to lose the entire economy by temporarily releasing a few billion dollars to meet the necessary needs, the necessary misery, with the people.
ParlaMint-NL_2022-03-23-tweedekamer-7.u11	You know, this debate has been held before, including in the Upper House. Then you will notice that it is about the importance of meeting the needs. As has already been explained in detail by the Minister for Social Affairs, the Cabinet has considered a number of measures. We didn't take it or we couldn't take it. The essence remained speed, where possible orientation and ultimately the action of today to dampen. Of course, the entire cabinet is aware of that. But I am also aware, together with all my colleagues from the cabinet, that what is called 'the socio-economic quadrangle' with the Minister for Social Affairs is that we will get into even worse weather. And over the corona period, we're out of social buffers. It is also important to see what is still possible and how it can be done. We are now all going into the spring decision-making process, but this is a one-off decision that we have taken. I believe that no one here has suggested that there is still a great deal to be done. I know that Mr Van Dijck from the PVV believes that, for example, there is no need to invest in combating climate change. That is necessary if we are to look at the scientific reports and the consequences of climate change that we are living with. It is also investing in the future economy of the Netherlands. It's looking forward, too. We must go through this crisis together, but everyone, the Minister for Poverty Policy, the Minister for Social Affairs, looks like no other at what it does with the purchasing power of people, especially those who are most vulnerable.
