ParlaMint-NL_2022-06-30-tweedekamer-8.u1	I call the Secretary of State.
ParlaMint-NL_2022-06-30-tweedekamer-8.u2	Thank you, Mr. Chairman. It is good indeed that today we can discuss the issue of digitalisation in response to the main letter sent by the government in March of this year. It is a development and a transition with an incredible impact on all of us. A number of you have already said this: the current digital revolution offers great opportunities for our society and our economy. The cabinet also wants to take advantage of these opportunities, from a strong starting position. Because thanks to our excellent infrastructure, the Netherlands is in a leading group of EU countries in terms of digitisation. At the same time, and some of you have already said a great deal about this, we must not close our eyes to the risks. Think of data leaks, disinformation campaigns or the 20% Dutch people who do not have digital basic skills, and who cannot participate in that digital society. Digitalisation thus contributes to growing inequality. These things can put pressure on our security, the rule of law, democracy, people and fundamental rights and our competitiveness. It is therefore so important that this government recognizes that we are in charge as a government. By playing a driving role, we can shape the digital transition in such a way that it fits the important and characteristic Dutch values, such as security, democracy and self-determination. It is the task of this cabinet to ensure that our world becomes as safe, inclusive and viable online as the world offline. Of course, I do this together with my fellow executives, whose core team is also present in this Chamber today, to work on a serviceable digital government, in a connected digital society and with an innovative and innovative economy, with solid rules of play, supervision, more strategic autonomy and a leading role in Europe. With these European rules, such as the Digital Markets Act, we restrict the market power of large platforms so that more opportunities are created for our SMEs and for others, and we ensure that there is freedom of choice for citizens and that they are protected. For example, we do the same with the Digital Services Act and the AI Act, the law on artificial intelligence. They protect our human rights and democracy. After the summer recess, we will publish a work agenda, as already announced in the main letter. In it we indicate exactly what activities we are going to perform in the coming period. That's an agenda we're making together with the cabinet. It indicates what we are going to do with the government, what we intend to do for our society, our economy and other themes, such as the Dutch cybersecurity strategy. In this work agenda, we will talk, among other things, about digital identity, accessibility, e-government and the protection of citizens. We also want to introduce this widely and, of course, discuss it with you. Today we are doing this mainly on the basis of the outline letter. The first block deals with the coordinating role. A number of questions have been asked. I have the task of working with the cabinet, together with my fellow executives, on the digital government, a connected society, a digital society and also an innovative and innovative digital economy. We need rules for this, such as good supervision, autonomy and a leading role in Europe. That's what it says in our coalition agreement. Then, of course, there is work to be done for a lot of people. Because digitisation plays a role in many of our policy areas, whether it's the work of the government itself and our services, whether it's about security, cybersecurity, or what we want in the areas of healthcare, climate and so on. That will always be work for many. It is, of course, important that we ensure that this fits together and that we have a common foundation on which we want to work, for example in monitoring our human rights and ensuring that digital society is safe, inclusive and viable. Of course, I'll be committed to that. But again, we do that together. In the cabinet, we also said: if we see that it is not enough to make agreements with one another to talk to society to get things done, then we will also not avoid the need for a law or a standard from time to time. It is important to ensure that we achieve what we want, namely a world that is as safe online as it is offline. I would like to answer the questions raised by Mrs Leijten and Mrs Van Weerdenburg, among others. Mrs Van Weerdenburg also asked what is the intention of the next step we want to take. She said, of course, the main letter deals with a number of higher-level intentions and objectives. That is, of course, also the idea of the outline letter. Of course, it is very important that we put this into practice. She is right to point that out. We're gonna show that after the summer. We show what we are going to do, for example, in the area of digital identity. We'll talk about that later. We will talk about the points that apply to the Dutch government. How, for example, do we make our services more bundled? How do we ensure that services can be provided in a safe and sound way? We are going to work on the road maps of the I strategy. So we're going to make sure that the IT of the Empire gets back on track. We do this together and we ensure that it is done in a safe way. We'll make sure our backlogs are resolved. We're gonna work on Red teaming to make sure hackers don't come into our house. It's all that kind of stuff. The state-wide cloud policy certainly plays a role in this. I will answer the questions that have been asked about this in the coming period.
ParlaMint-NL_2022-06-30-tweedekamer-8.u3	Beautiful, but when? 'Cause we've been asking for this for a long time. To be honest, most things have been promised much earlier. I believe that the roadmaps would have gone to the Chamber by the end of last year. We also asked for this in the spring. Each time it was said: before the summer recess. I understand now that this is not going to work, because the Secretary of State is now saying: after the summer recess. Can she promise that we will receive these roadmaps well before the debate we will have in the budget cycle, whether it becomes a WHO or another kind of debate? In any case, we intend to discuss this with each other in September. Will it be possible to send all this to the Chamber well before that debate?
ParlaMint-NL_2022-06-30-tweedekamer-8.u4	Maybe I should be a little more specific. I was talking about the work programme. It'll come after the summer. The main letter said that we would do that before the summer. We could have done that if we could have had the main debate a little earlier than today, but unfortunately that did not work. We're gonna try to do that as soon as possible after. It is important, however, that it is a well-developed work programme, which addresses the priorities we are discussing today. The other is that a number of things will certainly come before the summer. The I Strategy roadmaps will come before the summer. So that's in the course of next week. The same applies to the topic of cloud policy. So some of these pieces are coming up next week.
ParlaMint-NL_2022-06-30-tweedekamer-8.u5	Okay, because the Secretary of State just said it's gonna be after the summer. Did I understand correctly that she just said that the delay in the work agenda, the drafting of the outline letter, is actually because this debate is always moving forward in the planning process?
ParlaMint-NL_2022-06-30-tweedekamer-8.u6	What I think is important is that... we have this debate on the broad lines, in which many of you have also highlighted which topics you consider important. If we are to produce a work programme, I think it is of course important that we take into account the issues which the Chamber wishes to put in the front or to see further details. I will come back to that in a moment in my contribution to you. So, as far as I am concerned, that is one of the reasons why we have not yet completed a work agenda, at least. I think it is important to take what you think and what you think is important.
ParlaMint-NL_2022-06-30-tweedekamer-8.u7	We're doing interruptions in two.
ParlaMint-NL_2022-06-30-tweedekamer-8.u8	I find it a little complicated that it is being said now: there will be a work programme; you will receive it and you will see what we are going to do. For then, we will be left with good intentions, but we do not know what, for example, is the balance of values that this government wants to make when it comes to the importance of the economy or, for example, civil rights. Is that in the work agenda, or is it purely about what is happening?
ParlaMint-NL_2022-06-30-tweedekamer-8.u9	We have made it very clear in the main letter that we consider human rights and these fundamental values to be incredibly important in shaping our policies. But then the question is, of course, what it actually looks like. How, for example, will these human rights tests play a role in algorithms? How are we going to ensure that, in the implementation of e-identity policies, for example, we also implement the safeguards that are so important? So, as far as I am concerned, this is particularly about the fact that human rights and fundamental rights in the field of transparency, which are also enshrined in our Constitution, are at the forefront of our policy. That is in this main letter, and that is beyond question as far as I am concerned.
ParlaMint-NL_2022-06-30-tweedekamer-8.u10	I said in my term that I do not really see the weighting of values in that outline letter, nor in the coalition agreement. Nor do I see it in the legislative proposals that we have dealt with over the last few months, when it comes to, for example, protecting people from a government that profils and makes automatic decision-making. So I find it very difficult. What is going to be in the work programme on what we are asking for in terms of vision? If this cabinet says "economics for everything; privacy must wait a while," then we can differ on that and maybe we can change it. But if this cabinet continues to say "we think everything is important and we continue to manage a bit in between," then we do not have that fundamental debate. Does the Secretary of State know what I mean by that?
ParlaMint-NL_2022-06-30-tweedekamer-8.u11	I understand very well that you say that you could put that against each other. In this outline letter we indicate that in that digital world, in that transition, we have lost a number of fundamental guarantees and human rights, for example the fact that your data can be sold or passed on, or that there is insufficient clarity about how algorithms work, not only in the government, but also in the private sector. That can also have disastrous consequences, namely that you are sent all kinds of information that tries to push your opinion in a certain direction. That's exactly what we want to talk about. So we don't want to say: we're going to stop making it possible for there to be all kinds of new developments in this digital society. For example, you can very well improve healthcare with algorithms. Think, for example, of recognizing skin cancer. But we also want to ensure that that happens in a safe way, that your data and identity remain protected, that it happens in a non-discriminatory way. I think we have put that kind of framework conditions more than explicitly in this letter, because we also consider it so important. So yes, of course there are nice developments. We don't want to fight them at all. In fact, if they help to make our society better, we want to stimulate them. But we find it incredibly important that these fundamental rights are guaranteed. We are not only working on this in our work in Europe, which is also the subject of a great deal of attention, but we are also doing so here in the Netherlands.
