Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EelcoHeinen	Heinen, Eelco	M	1981	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TomvanderLee	van der Lee, Tom	M	1964	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Guest	notMP	Minister	D66	Democraten 66	Coalition	Centre	SigridKaag	Kaag, Sigrid	F	1961	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EelcoHeinen	Heinen, Eelco	M	1981	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EelcoHeinen	Heinen, Eelco	M	1981	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-03-10-tweedekamer-8	ParlaMint-NL_2022-03-10-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 59, Session 8 (2022-03-10)	2022-03-10	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 59	Sitting 2022-03-10	-	COVID,War	English	Guest	notMP	Minister	D66	Democraten 66	Coalition	Centre	SigridKaag	Kaag, Sigrid	F	1961	
