Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u1	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u2	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u3	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u4	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Guest	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u5	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u6	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u7	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u8	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u9	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u10	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2022-07-12-eerstekamer-15	ParlaMint-NL_2022-07-12-eerstekamer-15.u11	Report of the meeting of the Dutch Upper House, Meeting 38, Session 15 (2022-07-12)	2022-07-12	Upper house	Meeting of the 36th Eerste Kamer	Session 15	Meeting 38	Sitting 2022-07-12	-	COVID,War	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
