Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Opposition	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Opposition	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Regular	notMP	notMinister	Van Haga	Fractie Van Haga	Opposition	Right	OlafEphraim	Ephraim, Olaf	M	1965	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Regular	notMP	notMinister	Van Haga	Fractie Van Haga	Opposition	Right	OlafEphraim	Ephraim, Olaf	M	1965	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Guest	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DennisWiersma	Wiersma, Dennis	M	1986	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Guest	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DennisWiersma	Wiersma, Dennis	M	1986	
ParlaMint-NL-en_2022-06-29-tweedekamer-7	ParlaMint-NL_2022-06-29-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 98, Session 7 (2022-06-29)	2022-06-29	Lower house	Meeting of the 30th Tweede Kamer	Session 7	Meeting 98	Sitting 2022-06-29	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
