Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Opposition	Centre-left	SongülMutluer	Mutluer, Songül	F	1979	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Guest	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	JoelWeerwind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Opposition	Centre-left	SongülMutluer	Mutluer, Songül	F	1979	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Guest	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	JoelWeerwind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2022-07-06-tweedekamer-8	ParlaMint-NL_2022-07-06-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 101, Session 8 (2022-07-06)	2022-07-06	Lower house	Meeting of the 30th Tweede Kamer	Session 8	Meeting 101	Sitting 2022-07-06	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
