Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u1	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u2	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u3	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IngridMichonDerkzen	Michon-Derkzen, Ingrid	F	1976	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u4	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u5	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IngridMichonDerkzen	Michon-Derkzen, Ingrid	F	1976	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u6	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u7	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u8	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IngridMichonDerkzen	Michon-Derkzen, Ingrid	F	1976	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u9	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JoostSneller	Sneller, Joost	M	1982	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u10	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JoostSneller	Sneller, Joost	M	1982	
ParlaMint-NL-en_2022-02-08-tweedekamer-24	ParlaMint-NL_2022-02-08-tweedekamer-24.u11	Report of the meeting of the Dutch Lower House, Meeting 47, Session 24 (2022-02-08)	2022-02-08	Lower house	Meeting of the 30th Tweede Kamer	Session 24	Meeting 47	Sitting 2022-02-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
