ParlaMint-NL_2022-06-16-tweedekamer-10.u1	We're gonna listen to the Secretary of State.
ParlaMint-NL_2022-06-16-tweedekamer-10.u2	Thank you, Mr. Chairman. I would like to start very briefly with the following. There has already been talk in the numerous Canaans: the land, Europe, is plagued by the plagues of Egypt, one might say. That is also what we are encountering in this debate. We are in an exceptional situation: the world was first struck by the pandemic, which still prevails, then by the war in Ukraine, with all its consequences, and then six packages of sanctions were declared, leading to far-reaching economic consequences, including for our country. Why do I start with that? I am not doing this as a justification for the fact that we would have done too late and too little, as one of the speakers said. On February 24, the raid in Ukraine took place. On 11 March, as a cabinet, we decided on this package. On 22 March we held the debate with you on this subject. On 29 March we sent a letter on this subject. We immediately sent the bill to the Council of State. Fortunately, the Council of State has dealt with this in an urgent procedure. That came back April 14th. It was submitted to your Chamber on 28 April. I too feel unhappy that we cannot discuss the draft law in peace, but need still breaks laws. We wanted to act in response to the debate on 22 March, which is why we introduced two measures. The reduction in excise duty was already introduced on 1 April and we are now obliged to reduce VAT on energy prices on 1 July. This means that, if we finish this debate and vote on it, we will also have to go to the First Chamber. We will therefore have to take a policy decision on this too. That is not the happy course of events, but it is the exceptional circumstances that require speed on the one hand. I will come back later to the balance between generic or specific. But it's not something that should be the rule. Therefore, we come back with Princess's Day, which asked several speakers to return with the decision-making framework on when, in anticipation of legislation, you could or should not do something. But I would like to emphasise here that it is an exceptional situation. I would always like to be consulted with the Chamber before a measure actually comes into effect. I want to follow the right course of action in the state of law. It's not the first, it's the second package. Yesterday we talked about a possible third package, in 2022. It has been asked whether the Secretary of State wishes to reflect again whether this is a successful package. When we came up with the proposals, we knew that on the one hand we were doing something specific for the group that needs it most. This was about raising €200 in the first package to €800 in the second package. That was very targeted. That's what the bill has yet to be dealt with. The first responsible is the Minister for Poverty Policy, Participation and Pensions. The two measures contained in this bill are indeed generic. That does not affect the group that has the most difficulty with this incredibly high inflation. So that is the group that suffers daily the consequences for purchasing power in the wallet, not only now, but also before. Anyone who points that out should be partly right. If you make a tax reduction, everyone who drives a car will benefit. This applies to people with both a small and a wide scholarship. We did at that time, because it was a measure that could be introduced immediately and had an effect directly on 1 April. But indeed, because of the development of energy prices and yet also of the economic war around energy, this has partly evaporated. The second is as far as VAT is concerned: yes, it benefits everyone. So I understand very well that people are asking: what can you do in 2022? The cabinet of course also said yesterday that the sense of urgency is there. We're gonna look at all the options for that. I particularly appreciate the fact that we are actually looking at that in this Chamber. We had the debate on 22 March, but we also had the letter of 29 March, in which we discussed very comprehensively what we cannot do this year and what we cannot do this year. Sometimes something can be theoretical. The care allowance could be adjusted theoretically in the year, but you will end up in a swamp. Splitting up into two parts of a year might be possible for the systems, but you will all have to recalculate income. You've got to give information about that, too. All in all, we said at that time: it is not wise to do so in this year. Can you do it as of next year? Yes. Can you do that with the rent allowance? Yeah, structuralally. Can you do that with income tax, for example, when it comes to the general tax rebate? Yes. When do you need to adjust the systems? Around the Tax Plan, if we want to, we need to have an agreement on that. Then the wage tax tables can be adjusted, so that systems can be adapted, so that those involved in the wage administration software can adapt them. Under that condition, you can do so on January 1st. Despite this, yesterday's Finance Minister also indicated which options are being reviewed in the short term, in addition to all the options mentioned in the Chamber. I have also understood very well that it is not the intention to include this €500 in the healthcare allowance, but I understand that in any case you have to look at all the care recipients. Then you have to do some rough work and say: if you had a care allowance on July 1st, you will be eligible. Then you don't have to deal with calculating behavior, because that can't happen with retroactive force. How big is this group? That group should then get the 500 euros, this year. It is up to us to see whether this can be done technically, as the Minister said, and how we are going to do it. Are you going to do that in a separate law or are you going to use existing legislation? You're gonna do that through the Social Insurance Bank? You're gonna do that through the IRS?
ParlaMint-NL_2022-06-16-tweedekamer-10.u3	I welcome this. It also seems to me to be a practical interpretation of this. Does the Secretary of State also say: if that is possible, then so is the cabinet, the 500 euros; then we think that is sensible and then we want that group to offer 500 euros if that is possible?
ParlaMint-NL_2022-06-16-tweedekamer-10.u4	Yes. I have now translated it as I understood the idea. Of course, the Minister also said yesterday that you can do it for those who are entitled to rent allowance, although I am not saying that we are going to do it. There is simply the will to do something for the group as described very precisely by Mr Van der Lee, referring to the latest report of the Central Planning Bureau on energy poverty. Those are people who are at a minimum. Those are people sitting at 120%. But those are also people who are just up there, and they're getting hit hardest in the wallet right now. So we will really do our utmost. The question of coverage is then a next question, but if the will is there and you can do it, you will always come out of the coverage question. But yes, that is something of study for the very short term, for the coming weeks.
ParlaMint-NL_2022-06-16-tweedekamer-10.u5	I think that's wise. We also need to look closely at the performance. In that respect, we should also have a mortgage on the Chamber. So I'm okay with putting those options all side by side. The same applies to the rent allowance, the different dates and the question of who to implement it. All that is fine, but then the cabinet's intention is to make a proposal before the summer to somehow offer a compensation in the order of €500 to the group up to around mode.
ParlaMint-NL_2022-06-16-tweedekamer-10.u6	Yesterday in the debate it was promised that all options will be looked at and that this will be shared with you before the summer recess. At least that's how I understood it, because the first deadline has been suspended. If you want something, you don't have that much time, because then of course you will have to do it all in the autumn. So yes, I can see for myself that the cabinet comes with clasp-and-ready answers for the summer recess.
ParlaMint-NL_2022-06-16-tweedekamer-10.u7	I am pleased that this effect will be there before the summer. Do I understand correctly that the interpretation given by the State Secretary to that healthcare allowance variant, which is possibly also mine, is also combined, or is additionally provided with a variant through the rents? And is that it? Or is it going to be a whole series of options?
ParlaMint-NL_2022-06-16-tweedekamer-10.u8	I think we should do our homework first. Yesterday in the debate, the Minister simply indicated what options there are. There is a very concrete proposal from your side. Of course, we are going to look very seriously at that. What I appreciate in the proposal is that we have looked at the arguments put forward by the cabinet not to do it through the care allowance, but to base it on all those who have a care allowance. That is the proposal. The Minister said yesterday that you can also look at anyone who has a rent allowance. We will come back to that before the summer recess, so to what we will and will not do. In addition, the Minister also mentioned that there is something you can do in the special assistance. There are a number of other examples, but I do not need to repeat what the Minister said yesterday.
ParlaMint-NL_2022-06-16-tweedekamer-10.u9	Yes, and the second element was that if the will is there, the coverage should eventually be able to succeed. I can therefore conclude that, because this is the current year, if there is a need for cover that could only be covered after 2022 because of legislation and implications, it will be covered in the current year or in a different way. So I can assume that will not be the stumbling block.
ParlaMint-NL_2022-06-16-tweedekamer-10.u10	That was also a question from Mr Nijboer. Of course, it would be a bit of an absurd discussion if we said that coverage should be found this year. You need to see this over the whole cabinet period. That's our line. Several speakers have asked for this and the Chamber has also been very clear about it with Mr Alkaya's motion. Then where are you gonna look for it? That's what the Cabinet said. We're also gonna look at the ibo report on the power distribution, the capital gains. It is not our commitment to increase the income from labour. That is the starting point. Then cover it. Once you've taken the first step, you can't see one without the other. The amount covered is substantial, i.e. 2.35 billion. Mr Van der Lee and Mr Eppink pointed out that we also have the question of the non-objections. We shall come back to this in the August decision-making process. Then we'll bring a scenario letter to your room. But then you talk about $4 billion at the most, if you wanted to. I have said before that it is between 0 billion and 4 billion. In short, it does accumulate in terms of amounts. But the answer to the question is that we are simply following budgetary rules. If you're gonna do something on the side of the load, you're gonna have to find the solution on the side of the load. For that, you may take the entire cabinet period, so that you don't only look at the year itself, as is actually happening with our coverage proposals in the Spring Note. Mr. Chairman. If you will allow me, I would like to suggest to the Chamber that I do not go into all the other questions that were raised yesterday and which the Cabinet has said will come back to in the very near future. Because then I have to keep saying, with every question, that we will come back to that. But I wanted to put this as a general picture.
ParlaMint-NL_2022-06-16-tweedekamer-10.u11	I would like to take this opportunity. I'm totally okay with this. I'm also pleased with the line the Secretary of State puts here. If the summer recess chamber is further informed, can the Secretary of State also comment on the coverage that has now been used, namely a windfall in natural gas revenues? Can he comment on the actual costs of this package and the development of that windfall? Because that's not static greatness. Can he also say if there is any remaining space in the natural gas benefits?
