ParlaMint-NL_2022-04-20-tweedekamer-4.u1	I shall then be the first to give the floor to Mr Erkens of the VVD. Go ahead.
ParlaMint-NL_2022-04-20-tweedekamer-4.u2	Thank you, Mr. Chairman. We talked about hydrogen in detail last week. The Minister then referred to a minimum target of 3 to 4 gigawatt generated power by 2030. It is important that we increase that ambition. I have tabled an action plan and a proposal for this together with D66. This reflects the ambition of the coalition agreement and the expected demands of the "Fit for 55" package, as well as the need for a faster reduction in dependence on fossil fuels from non-free countries, such as Putin's Russia. I welcome the commitment to increase the national target and that the Minister is talking to the National Hydrogen Programme to see how that goal can be raised. The outcome comes with a policy letter to the Chamber after the summer. I have three questions to make the commitment even clearer. Is the Minister explicitly discussing how a target of 8 gigawatt would be feasible? Is he also going to include a specific import target? Does he also include possible agreements on desirable cost reductions in the production of green hydrogen, also in line with the approach we have applied in the past in the case of wind at sea? We cannot and must not make the same mistake again by importing most of our hydrogen from non-free countries. I therefore welcome the commitment to include hydrogen in the "dependence monitor" to be developed, as we call it. Maybe an "independence monitor" was a nicer name for it. Maybe the minister can still take that with him. That sounds a lot more powerful than a dependency monitor. Let's finish with one question about this. Can the Minister clarify in the implementation of the commitment and the independence monitor what he sees as a maximum percentage of imports from a specific non-free country? What's the critical value? Could he share some reflections on that in the letter received by the Chamber? Thank you, Mr. Chairman.
ParlaMint-NL_2022-04-20-tweedekamer-4.u3	Thank you. I give the floor to Mrs Kröger van GroenLinks. Go ahead.
ParlaMint-NL_2022-04-20-tweedekamer-4.u4	Mr. Chairman. Two motions and one question. First of all, the motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that hydrogen imports and exports are part of the National Hydrogen Programme;]] [[Whereas the large-scale production and export of green hydrogen offers economic opportunities for countries with high sun and wind, but also presents risks for sustainable development, such as degradation of land rights and freshwater scarcity;]] [[Whereas an analysis of the sustainability risks in international hydrogen chains provides a basis for companies in corporate social responsibility (CSR) and can become sustainability criteria for imported hydrogen;]] [[Whereas the German sustainability criteria also include access to renewable energy for the local population and the government intends to join this initiative;]] [[calls on the Government to carry out a sector-specific CSR risk analysis for hydrogen imports,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the production and supply of green hydrogen are limited and that, therefore, the use of green hydrogen should be highly targeted;]] [[Whereas other sustainable solutions are already available for many sectors, while green hydrogen is the only sustainable alternative for some sectors;]] [[calls on the Government to develop a hydrogen ladder that sets out an order of (sub) sectors which are given priority in the supply of green hydrogen and which should also take into account new innovative applications of hydrogen that are still under development,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger and Mr Boucke.]] [[She's getting No. kst-32813-1025]] [[This motion was tabled by Mr Kröger, Mr Boucke, Mr Thijssen and Mr Van Raan.]] [[She's getting No. kst-32813-1026]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u5	Mr. Chairman. In the debate we have also had the necessary exchange of views on the organisation of the market and we are going to have a separate debate on this. I think it would help the Chamber if the Minister were to go into the various models that exist for the market organization of production in particular. Are we going to work with a concession model? Are we gonna tender things? Are we gonna contract things? Let's leave it to private companies with government subsidies? Then how do we get the benefits back? I hope that the Minister will be able to draw up these different models in the letter on the organization of the market. Thank you, Mr. Chairman.
ParlaMint-NL_2022-04-20-tweedekamer-4.u6	Thank you. I call Mr Dassen van Volt. Go ahead.
ParlaMint-NL_2022-04-20-tweedekamer-4.u7	Thank you, Mr. Chairman. We had an important debate on hydrogen last week. In my view, it is still unclear how we are going to use it. We notice that a lot of hydrogen is going to be used, that many sectors also want to use it, but that it is not yet quite sharp where it is best to use it. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the use of green hydrogen in our economy requires a lot of green electricity and should only be used in sectors where electrification cannot be achieved;]] [[Whereas several sectors want to apply hydrogen;]] [[calls on the Government to make an explicit weighting, for example through a cost-benefit analysis by sector, on the use of (green) hydrogen compared to other forms of energy (e.g. electrification),]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dassen and Mr Grinwis.]] [[She's getting No. kst-32813-1027]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u8	Thank you, Mr. Chairman. In the hydrogen debate we have indeed talked a lot about the market organisation. We have also discussed the fact that we are going to pay a huge amount of money to achieve this, at least that is what the cabinet intends. The Labour Party wants to support this, provided we see that the industry contributes fairly. We talked about that. But what we want, of course, is to be sure that if we spend that huge amount, we will not subsidise too much and prevent over-subsidies. If we are going to talk about this in the future, I wonder how the Minister intends to do it. We have put forward the idea of HydroTerra and said that that is a way, but it can also be done with Invest-NL. Does the Minister want to explain how we, as Dutch taxpayers, are getting what we need for every euro we invest in it? In addition, of course, there has been a proposal from a number of coalition parties to increase the ambition for 2030. Well, that's good. That is why I am looking to see if we can do that by 2025 and hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the target of electrolysis capacity agreed in the Climate Agreement should at least double to 8 gigawatt by 2030 in order to meet the ambitions set out in the Fit for 55 package and in REPowerEU;]] [[noting that the Climate Agreement targets only 500 megawatts of electrolysis capacity in 2025;]] [[calls on the government to double the ambition for electrolysis capacity to 1 gigawatt by 2025,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Thijssen and Mr Van Raan.]] [[She's getting No. kst-32813-1028]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u9	Thank you, Mr President. Three points. Green hydrogen is not the hairminder oil of the energy transition, but we do need it. Hence, along with Mr Dassen, a nice motion. My second point. During the debate I made an example of the field lab in Dordrecht and the beautiful farm Dogterom in Oude Tonge. I encouraged the Minister to help these initiatives by creating more experimental space. I know that he must work there with other ministries and ministers such as Mr De Jonge again, who should make this kind of experimental space possible with the Environment Act. My appeal is: please, Minister, give these companies a boost by giving their innovation space. 'Cause it's beautiful if this can get a boost in that way. My third point. We should not trade Russia's disproportionate dependence on natural gas for new disproportionate dependencies. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the current high European dependence on natural gas from Russia is highly undesirable;]] [[Whereas the sustainability of the economy will require a scaling-up of production and imports of green hydrogen from abroad;]] [[Whereas the current situation of disproportionate dependence on imports of natural gas from Russia should not be exchanged for disproportionate dependence on imports of green hydrogen;]] [[calls on the government, in cooperation with market players, to combat disproportionate dependence on green hydrogen from a single country by focusing on diversification in countries of origin and fixing a maximum share of total imports of hydrogen per country,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grinwis and Mr Erkens.]] [[She's getting No. kst-32813-1029]]
ParlaMint-NL_2022-04-20-tweedekamer-4.u10	So far.
ParlaMint-NL_2022-04-20-tweedekamer-4.u11	Thank you. I call Mr Bontenbal of the CDA. Go ahead.
