Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19279	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19280	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Regular	MP	notMinister	HDSSB	Hrvatski demokratski savez Slavonije i Baranje	Opposition	Centre-right	GlavašBranimir	Glavaš, Branimir	M	1956	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19281	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19282	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Regular	MP	notMinister	HDSSB	Hrvatski demokratski savez Slavonije i Baranje	Opposition	Centre-right	GlavašBranimir	Glavaš, Branimir	M	1956	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19283	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19284	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Regular	MP	notMinister	HDSSB	Hrvatski demokratski savez Slavonije i Baranje	Opposition	Centre-right	GlavašBranimir	Glavaš, Branimir	M	1956	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19285	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19286	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Regular	MP	notMinister	HDSSB	Hrvatski demokratski savez Slavonije i Baranje	Opposition	Centre-right	GlavašBranimir	Glavaš, Branimir	M	1956	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19287	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19288	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Regular	MP	notMinister	HDSSB	Hrvatski demokratski savez Slavonije i Baranje	Opposition	Centre-right	GlavašBranimir	Glavaš, Branimir	M	1956	
ParlaMint-HR-en_2004-07-16-0	ParlaMint-HR_2004-07-16-0.u19289	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 9	2004-07-16	Unicameralism	5. mandat	-	Zasedanje 9	2004-07-16	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
